[01-00] "Qui Erik il Vichingo giace, a Valhalla ora combatte, così assai gli piace."
[50-05] "Il Bardo fece il suo ingresso a Finstown, dove lo attendevano una tiepida accoglienza e persone cortesi."
[51-05] "Ecco!  Arriva il Bardo!"
[52-05] "Sì, sono io! Il vostro eroe è arrivato! Pare proprio che la mia reputazione mi abbia preceduto."
[53-05] "Fuoco!"
[54-05] "E non tornare, femminuccia!"
[55-05] "Forse sta correndo a casa per cambiarsi i pantaloni!"
[56-05] "Era, in effetti, dolorosamente chiaro per il Bardo che la sua reputazione l'avesse preceduto."
[57-05] "E coraggiosamente il nostro Bardo fece ritorno alla ben nota Finstown."
[58-05] "Il Bardo fu presto sfiorato, oltre che da una mezza dozzina di frecce, dal pensiero che forse avrebbe dovuto rinforzarsi un po' prima di farsi rivedere da quelle parti."
[59-05] "Hurrà! Hurrà per il Bardo!"
[5A-05] "Ma guarda un po' chi c'è: il Bardo. Sono sicuro che il nostro capo Silkbeard vorrà parlarti; Sta in quell'edificio grande, quello che ha quasi tutte le finestre ancora intatte."
[5B-05] "Ah, la visione di quel drago che brucia i cancelli mi da ancora le lacrime agli occhi."
[5C-05] "Quelle persone sono ancora là fuori?  Magari si sbrigassero e attaccassero: servirebbe a tutti una bella rissa."
[5D-05] "Questa è la bella vita... se solo zio Hrafn fosse qui... Sigh. Beh: un altro brindisi al suo nome!"
[5E-05] "Ehi, che guardi? Sparisci."
[5F-05] "Trovati qualcosa da saccheggiare!"
[60-05] "Sorprendentemente, il Bardo si ritrovò nella taverna locale. C'è una prima volta per tutto, suppongo. Una volta, il Pub di Trowie era un ritrovo d'altri tempi, ma come il resto della città è stato occupato dai Vichinghi."
[61-05] "Non so cos'hai fatto, ma pare che tu non piaccia molto agli abitanti. E, a pensarci bene, non piaci neanche a me."
[62-05] "Ah, è il Bardo. Un brindisi alla tua salute, Bardo!"
[63-05] "zzzzzzz...."
[64-05] "Hai davvero un paio di palle di bronzo, per mostrare la tua faccia qui in giro."
[65-05] "Aspetta, aspetta, perché questa ostilità?  Non ho mai messo piede in questo villaggio, prima d'ora... almeno da quel che ricordo. In qualsiasi caso non ti ho sicuramente fatto del male."
[66-05] "Come se non lo sapessi."
[67-05] "Non lo so."
[68-05] "Ok. E mi dirai anche che non sei stato tu a liberare il Drago Orkney."
[69-05] "Drago?  Quale Drago?"
[6A-05] "Mi stai prendendo per scemo!? Come se non sapessimo che sei stato tu a permettere a quella bestia di radere al suolo la città e a lasciare che i Vichinghi la assalissero."
[6B-05] "Oh, quindi questa città! Ricordo di aver forzato un grosso cancello, ma nessuno mi aveva mai parlato di un drago..."
[6C-05] "Ma certo. Fa' pure il finto tonto. Avrai ciò che ti meriti."
[6D-05] "Beh, se questo significa denaro e donne sono d'accordo, ma non mi sembra che questo villaggio abbia l'una o l'altra cosa da offrire, al momento."
[6E-05] "Devi incolpare solo te stesso dell'accaduto. Alla fine molti abitanti sono fuggiti e adesso stanno assediando la città; può darsi che riescano ad entrare e a salvarci, prima o poi."
[6F-05] "Sono certo che lo faranno... Credo che adesso sia meglio che me ne vada."
[70-05] "Sì, vattene e non ritornare."
[71-05] "Forse prima non sono stato abbastanza chiaro. Lascia che te lo dica in modo che perfino lo scemo del villaggio potrebbe capirlo. Va' al diavolo!"
[72-05] "Eeeek, è un ratto! Oh, qualcuno lo uccida! Uccidetelo!"
[73-05] "D'accordo, d'accordo, adesso calmati; quel grosso ratto spaventoso non c'è più."
[74-05] "Errr... grazie Bardo, io um... non so cosa sia successo, io... ehi, prendi questo e non dire a nessuno ciò hai visto, ok?"
[75-05] "Non male, la mia bocca è sigillata."
[76-05] "Benvenuto, amico mio. Dai uno sguardo ai miei articoli e sono certo che li troverai tra i migliori oggetti provenienti da ogni angolo del globo. Qui vendiamo solo il meglio del meglio."
[77-05] "Quello? L'ho strappato ad un Trow ubriaco a Dounby. L'ho ripulito abbastanza bene. Il pugnale, non il Trow. Quel bastardo fetente è morto dissanguato sui miei stivali migliori."
[78-05] "Ottima scelta. Se ti avvicini abbastanza senti anche l'ultimo rantolo."
[79-05] "Ah, ecco. L'ho ricevuto da un nano del sud; tutto quello che ho dovuto fare è stato decapitare una coppia di Legali del Re. Un vero affare."
[7A-05] "Non dimenticare che è particolarmente valido contro bulli, malviventi e mascalzoni; ladri e marioli, ciarlatani, eretici, ruffiani, canaglie, assassini, deliquenti, truffatori di tutte le razze e furfanti della peggior specie."
[7B-05] "Personalmente posso giurarti che questo è il miglior mazzafrusto esistente. Quasi mi uccise nella grande battaglia di Hammerhill, sull'isola di Sanday.  Per fortuna Thor era con me, quel giorno, e mi chinai appena in tempo. Tutto il ricavato della vendita andrà alla famiglia del mio buon amico Kolskegg che ebbe la sfortuna di stare dietro di me."
[7C-05] "Ti ringrazio dell'acquisto. La famiglia di Kolskegg ti sarà riconoscente."
[7D-05] "Questa splendida arma mi è stata donata da un guerriero che, dopo un incidente in battaglia, non sapeva più che farsene di una spada a due mani. E' riuscito a tornare a casa dalla sua famiglia, ma temo che non potrà più applaudire. Ho sentito che in seguito è diventato giocoliere."
[7E-05] "Magnifica scelta!"
[7F-05] "Ti vedo interessato a quest'arco. Apparteneva ad un giovanotto che si faceva chiamare l'Eletto, qualunque diavolo di cosa voglia dire. So che finì per diventare l'antipasto di alcuni soldati: che fine orribile!"
[80-05] "Ottima scelta. Spero che tu non faccia la stessa fine dell'altro tipo Eletto."
[81-05] "Questo sì che è un arco. Me ne sono innamorato appena l'ho visto, davvero. Il proprietario non voleva vendermelo e così l'ho dovuto barattare con i miei figli! Beh, un paio, almeno. Di certo è una vera bellezza."
[82-05] "Se mai ti capitasse di vedere i miei figli, non dimenticarti di dir loro quando ti è piaciuto l'arco. Sarebbe una gran bella cosa."
[83-05] "Beh, questo Arco di Elderwood è una vera rarità. Ho dovuto pugnalare alle spalle un paio di tizi per procurarmelo... Quelli sì che erano bei tempi."
[84-05] "Sembra che i tuoi sogni siano diventati realtà, ora che hai quella bestia tra le mani."
[85-05] "Questa è  una delle migliori armature che vedrai mai."
[86-05] "Ottima scelta, quest'armatura.  E' anche fornita di garanzia sulla vita del proprietario. Funziona! L'ho dovuta rubare prima di uccidere l'ultimo proprietario."
[87-05] "E' davvero una bellezza, questa maglia di ferro. Può garantire a qualunque guerriero un bell'aspetto, perfino al morto al quale la tolsi. Se si può avere un bell'aspetto da morti, questo la dice lunga su quello che si indossa."
[88-05] "Sai, hai già un aspetto migliore anche solo tenendola in mano."
[89-05] "Oh, ora lascia che ti parli di quest' armatura. Una volta con una principessa guerriera abbiamo fatto una partitina a carte. Poco dopo i miei pantaloni erano contro la sua maglia... indovina chi ha vinto? Dannazione, quando se l'è tolta c'è mancato poco che svenissi... ah, quelli sì che erano bei tempi."
[8A-05] "Se vedi questa Principessa, dille che sono pronto a giocare a carte quando vuole!"
[8B-05] "Questo scudo è il miglior strumento di difesa che io abbia mai rubato a un cavaliere morto. Difficile sbagliare con una qualità del genere."
[8C-05] "Ottima scelta. Sono riuscito a toglier via quasi tutto il sangue, ma se vuoi puoi controllare, giusto per esser sicuro. Oh, e un po' d'acqua e di sapone dovrebbero far andare via la puzza."
[8D-05] "Questo scudo era sepolto con un antico guerriero. Secondo la leggenda questo guerriero visse più di 200 anni perché lo scudo era di così buona fattura che lo protesse persino dalla morte."
[8E-05] "Venduto! Altri tre e avrai le migliori ruote di tutto il paese."
[8F-05] "Il Bardo arrivò al quartier generale del capo del vichinghi, Silkbeard. Essendo incerto sul tipo di accoglienza che lo attendeva, il nostro eroe si preparò per il confronto."
[90-05] "Guarda chi è!"
[91-05] "Oh, accidenti. E' giunta l'ora di cominciare ad uccidere."
[92-05] "Raccoglietevi, beoni ubriachi!  Il Bardo è giunto, finalmente!  Un fiasco di birra e una coscia di carne!  Accidenti, dategli qualsiasi cosa desideri! E' il minimo che possiamo fare dopo quello che ha fatto per noi!"
[93-05] "E di cosa si tratta?"
[94-05] "Di cosa si tratta, ci chiede! Si tratta del Drago Orkney che tu hai liberato su questa dannata città! Avevamo passato mesi a martellare i cancelli e a massacrare i cittadini ogni volta che potevamo.  Ed ecco che arriva il tuo drago, frantuma i cancelli in un colpo e mette mezza città in fiamme! E'... è stato... meraviglioso."
[95-05] "Hurrà! Tre volte hurrà per il Bardo!"
[96-05] "Non c'è da stupirsi se la gente del luogo mi detesta."
[97-05] "Detestarti!?  Detestarti!?  Loro non ti detestano, amico!  Loro ti amano!"
[98-05] "Mi amano? Di cosa parli?"
[99-05] "Aspetta. No. Non amore. Odio! Loro ti odiano! Ti disprezzano! Malediranno il tuo nome con ogni respiro per anni e anni! Cosa non darei per una gloria simile!"
[9A-05] "Puoi averla."
[9B-05] "Non è così che dovrebbe parlare un demone sterminatore come te!  E finché sarai qui va' dove vuoi, massacra la gente del posto e prendi ciò che vuoi! E' il minimo che possiamo fare per un bastardo, orribile assassino come te!"
[9C-05] "Suvvia, Bardo: io a te devo molto, ma trafficare con il tesoro di un'altra persona non è un comportamento degno."
[9D-05] "Stavo solo ammirando i tuoi averi; non avevo intenzione di portar via qualcosa... Beh... non adesso, almeno."
[9E-05] "Ai margini della città si trovava un improvvisato campo di prigionia, con grezze mura cadenti che tenevano prigionieri i fieri cittadini di Finstown. Questi prigioneri avevano poche possibilità contro i ben armati Vichinghi, ma il Bardo avrebbe potuto guadagnarsi il loro favore se li avesse aiutati a risolvere il loro dilemma. In una simile situazione, il Bardo avrebbe avuto bisogno di tutto il favore possibile."
[9F-05] "Aiutaci! Aiutaci!"
[A0-05] "Ti prego, liberaci da Silkbeard e dai suoi uomini!"
[A1-05] "Bardo, chi si batte per sé è un vero uomo, ma chi si batte per gli altri lo è dieci volte di più. Aiutando deboli... aiuterai te stesso. Difendi gli innocenti... difenderai la tua umanità.  Se fossi in te..."
[A2-05] "Certo. Beh, dato che tu non sei me, questa discussione finisce qui."
[A3-05] "State tutti indietro e salutate il vostro nuovo eroe!"
[A4-05] "Considerati fortunato che non ti salutiamo a pietrate, dato che sono state le tue azioni a ridurci così. Tuttavia, abbiamo bisogno del tuo aiuto. I rinforzi che stanno per arrivare sono troppo numerosi perché tu li possa affrontare da solo.  Ma con la tua magia e il nostro aiuto, potranno essere sconfitti."
[A5-05] "No, non penso. Non ho bisogno di Vichinghi depravati da un lato e cittadini ingrati con la voglia di lapidarmi dall'altra. Lavoro da solo."
[A6-05] "Aprirò i cancelli, ma se una pietra colpisce la mia testa vi ci richiudo dentro."
[A7-05] "Ci lasci qui a morire! Non hai un cuore, nel petto? Di certo non l'avrai quando sarai morto, il che avverrà molto presto."
[A8-05] "Forse c'è qualcosa di buono in te, dopotutto.  Liberaci e combatteremo al tuo fianco."
[A9-05] "Così sei ritornato, eh?  Hai ritrovato la ragione o stai solo girando in tondo senza meta?"
[AA-05] "Ho pensato che avrei potuto farmi quattro risate, dandovi una falsa speranza.  Davvero gratificante."
[AB-05] "Normalmente potrei batterli da solo, ma siccome oggi non sto tanto bene, vi libererò."
[AC-05] "Non gratificante quanto vederti massacrato dai Vichinghi."
[AD-05] "Non te ne pentirai.  Apri in fretta i cancelli e ci prepareremo per l'attacco."
[AE-05] "Hai del fegato a venir qui a fare l'eroe dopo quello che hai fatto!"
[AF-05] "Avevamo un Bardo anche noi, fino a quando i Vichinghi non lo hanno usato come bersaglio. Ha lasciato questo strumento. Ecco, penso possa servirti."
[B0-05] "Ho sentito che alcuni sono sfuggiti all'attacco iniziale e hanno messo insieme un piccolo manipolo al di fuori della città."
[B1-05] "Ti sembra possibile che qualche idiota abbia liberato il Drago Orkney?"
[B2-05] "Sei fortunato che non ti impicchiamo."
