[00-00] "!MissingString!"
[02-00] "Salute"
[05-00] "Vigore"
[06-00] "Punti Danno"
[07-00] "fifone"
[08-00] "Premi [7D-00] per lasciare la zona."
[09-00] "ripeti"
[0B-00] "Premi [7D-00] per aprire [02-26]."
[0C-00] "Premi [7D-00] per parlare con [3A-26]."
[0D-00] "Houton"
[0E-00] "Il Ratto Ubriaco"
[0F-00] "Foresta di Houton"
[10-00] "Boschi di Fairyhaunt"
[11-00] "Tumulo del Bugbear"
[12-00] "Entroterra di Houton"
[13-00] "Parco dell'Altipiano"
[14-00] "Torre della Foresta"
[15-00] "Cripta di Herne"
[16-00] "Torre della Foresta, Livello 1"
[17-00] "Le miniere dei Firbolg"
[18-00] "Il Fiume Sotterraneo"
[19-00] "Caverne di Finfolk"
[1A-00] "Il Mar Sottile"
[1B-00] "Passo della Montagna"
[1C-00] "Il Fiume Ghiacciato"
[1D-00] "Tombe Ghiacciate"
[1E-00] "Camera di Sepoltura"
[1F-00] "Torre del Passo della Montagna"
[20-00] "Torre della Montagna"
[21-00] "Torre della Montagna, Livello 1"
[22-00] "Torre della Montagna, Livello 2"
[23-00] "Torre della Montagna, Livello 3"
[24-00] "Cripta di Lugh"
[25-00] "Kirkwall"
[26-00] "Stromness"
[27-00] "La Fattoria"
[28-00] ""
[29-00] "."
[2A-00] "Premi [7D-00] per usare."
[2B-00] "Inizia un Nuovo Gioco"
[2C-00] "Carica un Salvataggio"
[2D-00] "Opzioni"
[2E-00] "Crediti"
[2F-00] "Musica"
[30-00] "Vibrazione"
[31-00] "Sottotitoli"
[32-00] "Visualizza Danno"
[33-00] "Ritorna al Gioco"
[34-00] "Mappa"
[35-00] "Ritratto"
[36-00] "Vai al Menu Principale"
[37-00] "Difficoltà"
[38-00] "Inizia Gioco"
[39-00] "Si"
[3A-00] "No"
[3B-00] "Forza"
[3C-00] "Vitalità"
[3D-00] "Fortuna"
[3E-00] "Destrezza"
[3F-00] "Carisma"
[40-00] "Ritmo"
[41-00] "Continua"
[42-00] "Genera Personaggio"
[43-00] "Facile"
[44-00] "Normale"
[45-00] "Vecchia Scuola"
[46-00] "Diario Missioni"
[47-00] "Elenco Melodie"
[48-00] "Elenco Manufatti"
[49-00] "Manufatti"
[4A-00] "Armi a due mani"
[4B-00] "Armi doppie"
[4C-00] "Mazzafrusto"
[4D-00] "Attacco con Scudo"
[4E-00] "Carica con Scudo"
[4F-00] "Tiro Poderoso"
[50-00] "Colpo Critico"
[51-00] "Cacciatore di Tesori"
[52-00] "Controattacco"
[53-00] "Parata"
[54-00] "Affondo di Spada"
[55-00] "Attacco Turbinante"
[56-00] "Mulinello"
[57-00] "Pioggia di Frecce"
[58-00] "Colpo Critico Avanzato"
[59-00] "Danneggiato"
[5A-00] "Statistiche"
[5B-00] "Disponibile:"
[5C-00] "Scegli un Talento:"
[5D-00] "Ratto"
[5E-00] "Mercenario"
[5F-00] "Cavaliere"
[60-00] "Imbroglione"
[61-00] "Eroina"
[62-00] "Bruto"
[63-00] "Elementale del Fuoco"
[64-00] "Colosso"
[65-00] "Ragno del Tuono"
[66-00] "Knocker"
[67-00] "Fattucchiera"
[68-00] "Incantatrice"
[69-00] "Guardia del Corpo"
[6A-00] "Brigante"
[6B-00] "Fata di Luce"
[6C-00] "Esploratore"
[6D-00] "Talenti"
[6E-00] "Melodie"
[6F-00] "Demo"
[70-00] "Esperienza"
[71-00] "Salute"
[72-00] "Mana"
[73-00] "Livello"
[74-00] "Luminosità"
[75-00] "Carica un Salvataggio"
[76-00] "Caricamento..."
[77-00] "Elenco Talenti"
[78-00] "Guanti in Pelle di Tasso"
[79-00] "Cintura di Quercia"
[7A-00] "Bracciali Firbolg"
[7B-00] "Talismano di Findruine"
[7C-00] "Medaglione di Fae"
[7D-00] "Fiala di Medb"
[7E-00] "Zampa di Coniglio"
[7F-00] "Ferro di Cavallo d'Argento"
[80-00] "Quadrifoglio"
[81-00] "Emblema del Vento"
[82-00] "Stivali delle Sette Leghe"
[83-00] "Pietra del Fulmine"
[84-00] "Collare d'Argento"
[85-00] "Diadema d'Oro"
[86-00] "Manto d'Ossian"
[87-00] "Talismano dell'Aquila"
[88-00] "Anello di Tara"
[89-00] "Calice di Cormac"
[8A-00] "Anello del Cardo Dorato"
[8B-00] "Libro Bianco di Rhydderch"
[8C-00] "Libro Bianco di Hergest"
[8D-00] "Mantello di Broonie"
[8E-00] "Falstone"
[8F-00] "Cannocchiale d'Oro"
[90-00] "Amuleto di Llyr"
[91-00] "Forza +1"
[92-00] "Forza +2"
[93-00] "Forza +3"
[94-00] "Vitalità +1"
[95-00] "Vitalità +2"
[96-00] "Vitalità +3"
[97-00] "Fortuna +1"
[98-00] "Fortuna +2"
[99-00] "Fortuna +3"
[9A-00] "Destrezza +1"
[9B-00] "Destrezza +2"
[9C-00] "Destrezza +3"
[9D-00] "Carisma +1"
[9E-00] "Carisma +2"
[9F-00] "Carisma +3"
[A0-00] "Ritmo +1"
[A1-00] "Ritmo +2"
[A2-00] "Ritmo +3"
[A3-00] "+50 Punti Danno Max"
[A4-00] "+50 Mana Max"
[A5-00] "+10% Tasso di Rigenerazione Mana"
[A6-00] "+10% Tasso di Rigenerazione Salute"
[A7-00] "+10% Esperienza"
[A8-00] "+10% Valore dei Tesori"
[A9-00] "+1-5 Bonus Armatura"
[AA-00] "???"
[AB-00] "Carica l'Ultimo Salvataggio"
[AC-00] "FINE"
[AD-00] "Auto-Assegna"
[AE-00] "[7C-00]Indietro"
