[01-00] "Qui Erik il Vichingo giace, a Valhalla ora combatte, così assai gli piace."
[43-07] "Il nostro eroe, dimostratosi un osso duro per i guardiani della torre, venne rinchiuso al suo interno... forse seppellito per il resto della sua inevitabilmente breve vita."
[44-07] "Sopravviverò a questo solo per farti un dispetto!"
[45-07] "Non proseguire. Sono Mannanan, il guardiano di questa torre, e tu non sei il benvenuto in questo luogo. Ti dò la possibilità di andartene. Da qui non passerai."
[46-07] "Questa filastrocca mi suona famigliare. Guarda, anche se desiderassi ritornare indietro...e non voglio...non c'è una via di uscita! Tanto vale andare avanti."
[47-07] "Sei stato avvisato."
[48-07] "Non sai in che cosa ti stai cacciando, imbecille di un Bardo. Torna indietro prima che sia troppo tardi!"
[49-07] "Non sapere in cosa mi sto ficcando è sempre stato l'ultimo dei miei pensieri. E non penso di cambiare modo di fare ora. Valutando la situazione tuttavia, darò a TE un'ultima possibilità di arrenderti a ME. Che ne pensi?"
[4A-07] "Non posso rinunciare alla mia eterna sorveglianza. Non mi lasci scelta. Fino alla Morte!"
[4B-07] "Ci sei riuscito."
[4C-07] "Scusa il ritardo. Ho avuto un pò di problemi con le intemperie. Aspetta un attimo. Sei ancora uno spirito!"
[4D-07] "Naturalemente, amore mio"
[4E-07] "Ma questa è la terza torre!"
[4F-07] "Esatto, amore mio."
[50-07] "Ma tu dovresti essere qui... Intendo in carne e ossa."
[51-07] "No, amore mio, sono imprigionata in cima alla torre di Dounby."
[52-07] "Ma hai detto di trovarti nella terza torre."
[53-07] "No, ho detto che avresti dovuto spegnere le fiamme in TRE torri per liberarmi."
[54-07] "E così ho fatto."
[55-07] "La mia prigione nella torre di Dounby non poteva essere aperta fino a quando tutte e tre le fiamme non fossero state spente. Ora puoi venire nell'ultima torre e salvarmi, in ossa e...carne. Morbida, calda, servile..."
[56-07] "Daccordo, daccordo, ma dacci un taglio! La cosa sta diventando noiosa...perfino per me. Per curiosità in quanti luoghi dovrò avventurarmi per arrivare alla cosiddetta "torre finale"? Quanti Bodb e strumenti dovrò raccogliere? E con quanti altri idioti sarò costretto a discutere?"
[57-07] "Niente di tutto questo, ti basta solo venire alla torre."
[58-07] "Ci crederò se vivo abbastanza per vederlo. C'è naturalmente un piccolo problema. La porta di questa torre è stata sigillata e non ho altra via d'uscita."
[59-07] "Ti aiuterò io. La magia che mi imprigionava si è indebolita grazie ai tuoi sforzi. Ero consapevole del piano di Fionnaoch per intrappolarti e ho conservato le mie energie per aiutarti in questa fase finale del tuo viaggio."
[5A-07] "Il tuo trasporto per Dounby attende."
[5B-07] "Hmmm... interessante. Guarda, potresti evocare qualcosa che resti attaccato al terreno? Una bella carrozza magari."
[5C-07] "Sarai perfettamente al sicuro. Attenderò con ansia in cima alla torre il tuo arrivo...e il nostro primo bacio."
[5D-07] "Ti dirò...Se non sarai lì puoi baciarmi il c..."
[5E-07] "Addio."
[5F-07] "Odio le persone che devono avere sempre l'ultima parola."
[60-07] "Sono indignato dal conflitto e dalla sofferenza che questa bellissima anima ha subito. Tutto questo è andato avanti troppo a lungo ed è necessario conquistare la sua libertà. Dobbiamo liberarla."
[61-07] "E fu così che il nostro impavido Bardo si mise senza timore in sella alla bestia fiammeggiante, cavalcandola attraverso i cieli turbolenti, volando verso il suo destino e il..."
[AA-0B] "Ugghhhh... Scusami... Mi sento male al solo pensiero di volare."
[AB-0B] "Ok, mi arrendo... E fu così che il nostro coraggioso Bardo si mise in sella alla bestia fiammeggiante, cercando di non lasciarci le penne e provando a non vomitare il suo pranzo."
[1F-15] "Mannanan"
[41-15] ""
[42-15] ""
[44-15] ""
