[01-00] "Qui Erik il Vichingo giace, a Valhalla ora combatte, così assai gli piace."
[66-01] "Che ti guardi? Non hai mai visto un Firbolg?"
[67-01] "Scusa"
[68-01] "Scusami."
[EC-01] "Perchè non fai una donazione, figliolo?"
[2E-03] "E così il Bardo giunse a Kirkwall, un villaggio pacifico e tranquillo. Tutto sembrava stranamente familiare, e presto avrebbe capito perchè."
[2F-03] "Oh signore!  Non ci credo!  Non ci credo!  Non avrò le allucinazioni?"
[30-03] "Si può soltanto sperare."
[31-03] "Alla faccia del "pacifico e tranquillo"."
[32-03] "I miei occhi dicono la verità. Il mio amore è tornato davvero. Anche se mi giurasti di ritornare fra le mie braccia, il tempo ha portato il dubbio nel mio cuore. E' passato così tanto tempo da quella magica notte."
[33-03] "Si, una notte indimenticabile, proprio come questo momento. Sono tornato per te, ma avevo paura che i miei occhi non ti riconoscessero, quando ti ho rivisto. Ma sei proprio tu, dopo tutto."
[34-03] "Sono davvero dispiaciuto, milady, ma mi deve aver confuso con qualcun altro. Qualcuno meno bello, sicuramente. Mi succede sempre."
[35-03] "Si, la donna a cui hai offerto il tuo cuore. Oh amore mio, quando al mio risveglio quella mattina mi accorsi che eri scomparso, ero sicura che ti fosse successo qualcosa."
[36-03] "Stai sicuramente scherzando. Quella notte, al chiaro di luna, nel fienile, mi hai detto che mi amavi, hai detto che quello era il più bel momento di tutta la tua vita."
[37-03] "Si, milady. Uscii quella mattina per raccogliere per te i fiori più belli, e venni rapito da una banda di zingari. Solo il tuo ricordo mi diede la forza di lottare per ritornare tra le tue braccia."
[38-03] "Per essere onesti, ora capisco. Mi dispiace, non posso continuare a mentirti. Non mi ricordo di te, il che significa due cose: o non ti ho mai visto, o quella notte è stata magica per uno solo di noi."
[39-03] "Aspetta, aspetta, ora mi ricordo. Mi devi perdonare, ho combattuto contro molti uomini, ho affrontato innumerevoli pericoli per tornare da te. Molti combattimenti...molti colpi sulla mia testa. Certo che mi ricordo di te, amore, e sono felicissimo di poterti abbracciare ancora una volta."
[3A-03] "Puoi essere più precisa? Mi capita spesso anche questo. Mi dispiace, non mi ricordo di te, il che significa due cose: o non ti ho mai visto, o quella notte è stata magica per uno solo di noi."
