[01-00] "Qui Erik il Vichingo giace, a Valhalla ora combatte, così assai gli piace."
[AD-07] "Non appena il Bardo entrò nel piccolo villaggio vichingo, si accorse subito che tutto era morto... letteralmente. L'inferno era già passato per Stromness, e il Bardo, come sempre, era sulle sue tracce."
[AE-07] "Quelli come te non sono ammessi nel villaggio."
[AF-07] "Non sono ammessi i Bardi?"
[B0-07] "No... i vivi."
[B1-07] "Vuoi dire che l'unico modo di entrare nel villaggio è morire?"
[B2-07] "Si... ma possiamo aiutarti, gratuitamente."
[B3-07] "Molto gentile da parte vostra."
[B4-07] "Al tuo servizio..."
[B5-07] "Non voglio problemi. Dio sa che ne ho avuti più di quelli che mi spettavano. Voglio solo raggiungere quell'isola con la grande torre. Sapete come arrivarci?"
[B6-07] "L'unica via è attraverso questo villaggio, o meglio, era attraverso questo villaggio... passando dalle miniere dei Firbolg. Ma non ti devi preoccupare, non rimarrai vivo a lungo. Nessuno ci è riuscito."
[B7-07] "Beh, oltre a quel vecchio macellaio pazzo e al bottegaio. Abbiamo avuto qualche problema a catturarli."
[B8-07] "Si, il buon vecchio Hatcher, il macellaio. E' diventato pazzo da quando venne portato via dalla sua fattoria."
[B9-07] "Ecco come la vedo. Devo andare sull'isola. Quindi, combatterò contro di voi... in questo modo, vivo o morto, infine entrerò."
[BA-07] "Non male come ragionamento."
[BB-07] "Ovvio. Cominciamo?"
[BC-07] "Il Bardo capì in poco tempo che a Stromness la popolazione era in forte aumento. Per ogni Draugr ucciso ne sbucava un altro al suo posto. Il nostro eroe era in quella che si definisce una situazione di morte-o-morte."
[BD-07] "Testardo come pochi, il Bardo rifiutò l'aiuto del macellaio, anche a rischio di essere sopraffatto dall'orda di Draugr."
[BE-07] "Tu devi essere quel vecchio macellaio pazzo di cui ho sentito parlare."
[BF-07] "Ah, pensavo di non rivederti mai più!"
[C0-07] "Scusa?"
[C1-07] "Non scherzare con me, Garret, credevo che i Draugr ti avessero preso, ma mi devo ricredere, sei ancora vivo!"
[C2-07] "Penso tu mi stia confondendo con qualcun altro."
[C3-07] "Non essere stupido, come posso non riconoscere mio fratello?"
[C4-07] "Ah, beh, credo tu abbia ragione. Da quanto tempo, eh?...fratello."
[C5-07] "Già, troppo tempo. E' stata dura sopravvivere da solo nelle ultime settimane. Certo, c'è il vecchio bottegaio, ma è pazzo."
[C6-07] "E' triste avere un pazzo come unico compagno, vero?"
[C7-07] "Puoi ben dirlo, soprattutto da quando... il mio ragazzo... il mio unico figlio..."
[C8-07] "Tutto bene... fratello?"
[C9-07] "Cosa? William? William! Sei tu! Oh, figlio mio, credevo di averti perso. Quando sei partito per cercare quell'ascia..."
[CA-07] "Buon dio! Stammi lontano vecchio pazzo."
[CB-07] "Non c'è niente di cui vergognarsi, sei il mio unico figlio e non c'è nessuno qui attorno, beh, nessuno vivo, tranne forse quel bottegaio p..."
[CC-07] "Mi spiace interromperti... padre... ma conosci la via verso le miniere di Firbolg?"
[CD-07] "Cosa? Certo che la conosco, ragazzo, la nostra fattoria è proprio di fianco all'entrata della miniera. E' da generazioni che la nostra famiglia commercia con quei Firbolg."
[CE-07] "Benissimo! Andiamo alla fattoria...padre. Mmmm, è meglio che fai strada, tutta questa agitazione mi ha fatto dimenticare la direzione."
[CF-07] "Dobbiamo passare attraverso il cimitero."
[D0-07] "Certo, ovviamente è attraverso il cimitero. Per una volta sarebbe bello che la via passasse per un campo di fiori e invece..."
[D1-07] "Il Bardo non riusciva a non pensare che, una volta che tutto fosse finito, avrebbe avuto un nuovo compagno di bevute! Infatti, la sola idea di poter passare altre ore in compagnia del macellaio pazzo gli procurava brividi di piacere."
[D2-07] "Ohhh, falla finita! Non sto pensando a questo e lo sai benissimo!"
[D3-07] "Cos'hai detto, figliolo?"
[D4-07] "Niente... vecchio pazz... ehm, padre."
[D5-07] "Buongiorno a te, amico viaggiatore. Devi essere molto coraggioso o molto stupido per girare in città, oggi. Nel caso tu non l'abbia notato, pare che i morti escano dalle loro tombe."
[D6-07] "Davvero? Non l'avevo notato. Stavo esplorando la zona in cerca di un terreno dove costruire una casa. Pensavo di ritirarmi a vivere qui..."
[D7-07] "Non sono nè coraggioso nè stupido, solo un umile viandante che cerca la strada per le miniere dei Firbolg."
[D8-07] "Ah ah, sarcastico, eh? Mi sei simpatico. Forse posso esserti d'aiuto: ho qui una melodia magica, se pensi di essere in grado di usarla."
[D9-07] "Se quella è la tua intenzione, allora sei veramente stupido. Al confronto, le miniere degli uomini pesce rendono questo villaggio incantevole."
[DA-07] "Durante mio viaggio ho incontrato solo due tipi di persone, quelli che mi hanno aiutato e quelli che ho ucciso. Di che tipo sei, tu?"
[DB-07] "Mi preoccuperò degli uomini pesce quando sarò li. Ora devo occuparmi dei non-morti. C'è qualcosa che puoi fare per aiutarmi?"
[DC-07] "Durante mio viaggio ho incontrato solo due tipi di persone, quelli che mi hanno aiutato e quelli che ho ucciso. Di che tipo sei, tu?"
[DD-07] "Non so se sono in grado, ma qualsiasi aiuto è gradito. Dammi questa melodia, e ne farò buon uso."
[DE-07] "Eccellente! Sarà un onore per me aiutare una canaglia come te. Prendi questa melodia e fanne buon uso."
[DF-07] "Mi spiace, non penso di poterti aiutare, ma ti darò un consiglio. Vicino al negozio puoi trovare mio fratello. Potrebbe essere disposto ad aiutare un ragazzo gentile come te. Ora levati dai piedi, lasciami con la mia musica."
[E0-07] "Da questa parte... Qui sei al sicuro!"
[E1-07] "Non puoi sconfiggerli, ma posso aiutarti a non diventare come loro."
[E2-07] "Beh, sono felice che sia finito. Sembra tutto più calmo da queste parti."
[E3-07] "Hai ragione...Hilde...come sei arrivata qui? La mia mogliettina! Dammi un bacio!"
[E4-07] "Se solo provi ad avvicinarti ti arriva un bel pugno in faccia!"
[E5-07] "Questo è proprio da te! Non cambi mai, amore mio."
[E6-07] "E il Bardo si ritrovò a pensare che..."
[E7-07] "Smettila di dirmi ciò che penso!"
[E8-07] "Vattene! Non sai leggere?"
[E9-07] "Sono un viandante che deve fare acquisti."
[EA-07] "Ha! Non ci casco un'altra volta! Sei morto?"
[EB-07] "Ti sembro morto?"
[EC-07] "Si!"
[ED-07] "Ti assicuro che non lo sono. Fammi entrare."
[EE-07] "Beh, capisci che non posso rischiare. Se ritorni qui con il vecchio macellaio, ti farò entrare. Mi fido di lui."
[EF-07] "Non ti fidi di me, ma hai fiducia in un macellaio pazzo... logico, certo."
[F0-07] "Pazzo è il mio secondo nome. Ora vattene!"
[F1-07] "Non vedo il macellaio con te. Vattene!"
[F2-07] "Il vecchio macellaio pazzo era ormai temuto dai morti e rispettato dai vivi... La mente vacilla davanti all'enigma, ma preferisco evitare di usare parole troppo filosofiche in presenza del Bardo."
[F3-07] "Ho capito, ho capito... il macellaio è come una piccola lucertola."
[F4-07] "Come volevasi dimostrare..."
[F5-07] "E' tutto ok, amico mio. Sono io, il macellaio, e mia moglie Hilde... lasciaci entrare."
[F6-07] "Ma certo, quanto sono stupido! Sei più bella che mai, Hilde."
[F7-07] "Penso che molto presto ucciderò qualcuno."
[F8-07] "Ah, e il tuo solito adorabile caratterino."
[F9-07] "Benvenuto da Thorvald! Se sono abbastanza pazzo da rimanere in questo villaggio, allora sono anche abbastanza pazzo da tagliare i prezzi! Quello che non ho qui, non lo vuoi. Quello che trovi da qualche altra parte, non ti serve. E se lo trovi a un prezzo più basso, mi mangio il mio elmo."
[FA-07] "E' piccolo! E' efficace! Nascondilo negli stivali o nella tua manica. Questo pugnale è stato forgiato con l'acciaio più puro, imbevuto di veleno mortale: la morte dei tuoi nemici è garantita, e lo ingoierò per intero se non sarai soddisfatto! Sono pazzo, vero?"
