[01-00] "Here lies Erik the Viking, He fights in Valhalla now, Much to his liking."
[E2-00] "Quest Complete!"
[EA-05] "It's true then."
[EB-05] "I don't know what game he plays by coming here but he will regret it. Allow him to pass through the northern gate unmolested. When he's inside the city we will strike."
[D5-06] "He eluded our traps?"
[D6-06] "He's stronger than anticipated master."
[D7-06] "You men go to the tower. Once he's inside seal the doors, even should he defeat Mannanan that tower will become his tomb."
[D8-06] "Yes my lord."
[D9-06] "Mackay I have a special task for you, this Bard seems more than a match for the men."
[DA-06] "He is indeed master, however if we're given another chance I'm sure..."
[DB-06] "We're running out of chances, you must face him. Intercept him before he reaches the tower... take my pet with you to ensure that he does not survive."
[DC-06] "He doesn't stand a chance."
[60-07] "I am shocked by the strife and suffering this beautiful soul hath endured. Indeed it hath gone on too long, and it will take the likes of us to win her freedom. We must set her free."
[62-07] "Cathbad is faring poorly in his efforts. This... Bard has already evaded one of his traps and has reached the mountain tower alive. Lugh should be able to handle him but take some of the Brothers and ensure he does not leave the tower alive."
[63-07] "Yes my lord."
[64-07] "See that you don't fail. Use any means necessary to stop him. You know what's at stake."
[65-07] "We will do as you command."
[CA-08] "As the Bard drew closer to the Tower in the forest, a scene of great concern to him would play itself out atop another tower, in the city of Dounby, many leagues away..."
[CB-08] "Cathbad, Gather the brothers. Someone is nearing the first tower."
[CC-08] "At once sir."
[CD-08] "Mackay... wake my... pet."
[CE-08] "Yes my lord Fionnaoch."
[F1-08] "It had come to this, at last. One man on his own. A poet and a rogue, with no friends to speak of, no one to mourn his passing should it come to that. Even those beside him are no more boon companions than bondservants, summoned by sorcery and song, as cold and indifferent to him as the light of a wandering star."
[F2-08] "But to know where he is, and what may yet come to pass, we need to know who he is and where he's from..."
[F3-08] "And to know that, we've got to begin elsewhere...."
[F4-08] "I am not going through all of that again!  Can we please just get on with it?"
[F5-08] "Er, Sorry... Got caught up in the moment...As you were..."
[F6-08] "You've made a mistake coming here Bard. You have no chance to make it past me, turn around and leave."
[F7-08] "If I have no chance then why are you offering me a way out? Are you scared without your big beastie backing you up?"
[F8-08] "This time I'll take care of you myself Bard."
[F9-08] "We finally meet."
[FA-08] "Finally?  Do I know you?"
[FB-08] "No, but I know you... and might I say..."
