[01-00] "Qui Erik il Vichingo giace, a Valhalla ora combatte, così assai gli piace."
[C1-02] "No! Dannazione... Volevo... vattene!"
[C2-02] "Non so, non sembri molto simpatico."
[C3-02] "Che vuoi che ti dica? Vattene pure a salvare il mondo, io rimarrò al sicuro."
[C4-02] "No."
[C5-02] "Ahhhhhhh!"
[C6-02] "Grazie per avermi salvato la vita... Credo che potresti essere un tipo decente dopo tutto."
[C7-02] "Va bene. Ora non farmi del male, hai detto che non intendi di farmi del male."
[C8-02] "Sono molto dispiaciuto di non esssere uscito prima dal nascondiglio, però sai...sono stato qui per un pò, perennemente in fuga dagli uomini pesce, senza parlare poi di questo vichingo pazzoide! Quello crede io sia in combutta con gli uomini pesce, riesci a crederci?"
[C9-02] "È solo un vecchio matto che non sta zitto un minuto. Portai qui lui e suo fratello, aiutandoli a percorrere le gallerie. Mi volto indietro per un momento e i due si allontanano chi sa dove. Non che fossi triste nel vederli andare. Se credi lui parli troppo avresti dovuto sentire suo fratello. Così vado a cercarli e quando un uomo pesce mi salta sopra chiedo aiuto e vado a nascondermi. E subito dopo quel matto mi chiama traditore e cerca di uccidermi! Tutto ciò che voglio è uscire da qui con la mia pelle intera."
[CA-02] "È solo un vecchio matto che non sta zitto un minuto, qualunque cosa fai non lasciare che inizi una delle sue storie... Piuttosto meglio essere infilzato da un uomo pesce. Sono stato bloccato qui per cosi tanto tempo... sempre temendo per la mia vita...Sto diventando pazzo! Visto che devi scendere in qualche modo... puoi mostrarmi un'uscita?"
[CB-02] "Ok afferrato... bene l'unica cosa che ho di valore sono i braccialetti che mi lasciò mio padre... Io... bhe, ok te li lascio se mi mostri una via di uscita. Sono tutto quello che ho!"
[CC-02] "Grazie!  Andiamo."
[CD-02] "Un'affare è un'affare. Ecco i miei braccialetti, anche se hai fatto poco per meritarteli. Bhe...buona fortuna."
[CE-02] "Ecco prendi, è il più prezioso avere che ho al mondo. Mio padre me lo diede quando ero giovane, ma voglio ringraziarti per quello che hai fatto per me."
[CF-02] "Io non vado da quella parte! Di là c'è il Vichingo e niente gli piacerebbe di più che staccarmi la testa dal collo. Tu vai, ma io aspetto qui."
[D0-02] "Pronto ad andare? Di certo io lo sono."
[D1-02] "Sembri andare piuttosto di fretta amico mio. Perchè quest'agitazione? L'oro sta andando da qualche parte?"
[D2-02] "Bhe, sai come si dice... solo il più forte sopravvive... la vita è un cerchio, e tutte queste fesserie.  E posso aggiungere..."
[D3-02] "Non lasciate che interrompa il vostro scavo.  Ahh mi ricordo, quando ero un bambino una volta il mio cane seppellì mia sorella e me..."
[D4-02] "Mi dispiace non sono un tipo da scavi. Forse potrei aiutare in qualche altro modo se ci fosse qualche cosa per me."
