[01-00] "Here lies Erik the Viking, He fights in Valhalla now, Much to his liking."
[E2-00] "Quest Complete!"
[FE-00] "You should just stay in here and get drunk with us my friend.  The whole town is going to hell in a basket, so what the hell are we gonna need a liver for?"
[EC-01] "Care to make a donation my son?"
[E2-05] "The Bard came out of the North towards Dounby, unable to shake the eerie feeling that he was being watched."
[E3-05] "You've come out of the north?"
[E4-05] "Aye."
[E5-05] "Not many do.  How is it you've come through the mountains unscathed?"
[E6-05] "I don't see how that's any business of yours."
[E7-05] "Just passing the time friend, no need to bristle. There isn't much work for us these days.  Not since those thrice damned Druids took over the city."
[E8-05] "Druids eh?  When did this happen?"
[E9-05] "The Bard ventured into the Lion's Den, unable to shake the eerie feeling that he was being watched."
[EA-05] "It's true then."
[EB-05] "I don't know what game he plays by coming here but he will regret it. Allow him to pass through the northern gate unmolested. When he's inside the city we will strike."
[EC-05] "There he is brothers! Kill him!"
[ED-05] "I see you Bard!"
[EE-05] "Brothers the Bard is over here!"
[EF-05] "Those Druids used to keep to themselves but several days ago they streamed out of the tower and started taking over. Now they're all over the city looking for someone."
[F0-05] "Agh stay away! I didn't do anything! Oh wait I thought you were one of those Druids."
[F1-05] "I hear the town of Kirkwall was completely destroyed by a horrific monster."
[F2-05] "We live in dark times my friend, rumor has it that even the dead are rising from their graves."
[F3-05] "Things are getting dangerous around here. I've been thinking of going over to O'dell's and getting myself a sword."
[F4-05] "Don't worry too much about all of the recent troubles, some tall, muscular, courageous hero will save the day. Let me know if you see someone like that around."
[F5-05] "You'd do best to avoid the Aiken Drum, I hear it's a wretched bar full of scum and villainy."
[F6-05] "I haven't slept well at all lately I have this huge boil right on my... wait didn't you want to hear about it?"
[F7-05] "I came here because I needed a change but now I wish I'd stayed in Stromness."
[F8-05] "Crossing through the occupied city the Bard eventually found his way to the local pub, which somehow he always seemed to do. The Aiken Drum was the popular hangout of drunks, the unemployed, and reprobates who made their living on the streets.  The Bard of course felt right at home."
[F9-05] "Welcome, friend.  I'd heard ye'd come to Dounby. Many in the city have, it's been many a winter since a man's come out of the north on his own two feet, and not in a pine box."
[FA-05] "I noticed that I seem to be quite popular with the locals."
[FB-05] "Aye the Princess knew ye'd have to pass through here on your way to your next stop so she had me waiting in this god forsaken city to lend you a helping hand."
[FC-05] "You've been a great help so far let me tell you."
[FD-05] "Nobody likes a smart ass son, I couldn't have helped ye get past them patrols. Those Druids have been tearing the city apart looking for you, they'd like nothing better than to stop you from freeing our lady, they'd have done for me easily."
[FE-05] "Of course, of course. Well, then what help can you actually lend me?"
[FF-05] "I can help you out with a bit o' information. There's a man lives west of here, goes by the name of MacRath. He's the caretaker of the Shadow Axe, and you'll need it to get into the next tower."
[00-06] "Yeah, yeah, as soon as I rescue his cat or steal him a gem or find his long lost betrothed. I get the drill. Everyone wants a piece of the Bard."
[01-06] "Ach, it's a cynical man ye are, but maybe that's what's kept you alive this long. MacRath is one of us lad, he's keeping the axe for you, all you have to do is go get it from him."
[02-06] "Don't suppose you could have had it waiting here for me?"
[03-06] "And risk it fallin into the hands of these Druids? That would truly be daft of us, it's a big enough risk I take meeting you here. Use your head for thinking and not just yapping."
[04-06] "That actually makes sense, but I can do without the lip. Remember, I'm your savior."
[05-06] "Get yer arse out of here and head to Greenlands to find MacRath."
[06-06] "Having a problem leaving town my lad?"
[07-06] "There are a lot of Druids out there and none of them are raising a glass to my health, I can tell you."
[08-06] "There might be another way out, there're tunnels under the city that used to lead outside. The entrances to the tunnels are scattered throughout Dounby"
[09-06] "And the catch is..."
[0A-06] "Well the tunnels are overrun with monsters."
[0B-06] "And that's supposed to be a better way out?"
[0C-06] "Never said it was better. Just said it was another way to go."
[0D-06] "I'm beginning to think you're tryin to kill me Dugan."
[0E-06] "Me? Why o' course not I'm yer best friend, probably yer only friend the way you treat folks."
[0F-06] "You've got to help me here. I can't understand a bleedin' word he's saying. Is this even MacRath?"
[10-06] "What do you mean? Of course that's MacRath."
[11-06] "Ask him a question."
[12-06] "Hello there old friend how are you gettin' along with this young scamp?"
[13-06] "Och braw dugan braw tae see ye an aw. thes bonnie lad haur saved mah hide frae tha nuckelavee 'at some trosk released."
[14-06] "Ah he's speaking in a rare Scottish tongue. I forgot that most people these days don't know it. Fortunately I do."
[15-06] "What's he on about?"
[16-06] "So far just that he's grateful for being rescued from the monster that some idiot released. But I'll get more information."
[17-06] "Teel me mair, whit happened?"
[18-06] "It was gantin'; tha undeid rose frae tha grae an' overtook mah castle. Ah fled only tae be attacked by 'at hideoos creature, but Ah hud tae lae behin' tha axe."
[19-06] "Ominous indeed."
[1A-06] "Teel yer mukker haur 'at if he'll help me tak' back mah castle, he can retrieve tha shadaw ax."
[1B-06] "Ooooooooh. You'll like that."
[1C-06] "What?"
[1D-06] "Whit will he huv tae div?"
[1E-06] "Tak' me back tae tha ruins ay mah castle an' i'll shaw heem tha entrance.  There's a trap duir leadin' doon intae tha dungeons but i've got tha key."
[1F-06] "Clever!"
[20-06] "Come again?"
[21-06] "Aam certain he'll help."
[22-06] "If 'e tinnie get through doz dungeons intact i'd say us princess 'as 'erself a worthy champion. O' cose ay wouldn't bet ed 'im mak'n it out, ay yew se this is de rite git?"
[23-06] "Ay thought de same th'n myself fe a blind bit, but ay am pretty certain."
[24-06] "All right.  That's it, that's it.  What are you two on about?"
[25-06] "Right, here's the deal. MacRath's going to take you to his castle...well the ruins of it at least."
[26-06] "Only if he buys me dinner first."
[27-06] "Where he'll open up a trapdoor that leads down into the dungeons."
[28-06] "What's inside?"
[29-06] "The Shadow Axe, like I told you before he was holding it for you. He had to leave it in his dungeon when all the trouble started. I've instructed him to take you to it."
[2A-06] "Now we're talking. What else?"
