[01-00] "Here lies Erik the Viking, He fights in Valhalla now, Much to his liking."
[50-05] "The Bard entered Finstown, where a modest reception and gentle folk awaited"
[51-05] "There he is!  The Bard is coming!"
[52-05] "Yes it's me! Your hero has arrived! Looks like my reputation has preceded me"
[53-05] "Fire!"
[54-05] "And stay out, nancy boy!"
[55-05] "Maybe he's runnin' home for a clean pair o' shorts!"
[56-05] "It was in fact painfully obvious to the Bard that his reputation had proceeded him."
[57-05] "And bravely did our Bard return to familiar Finstown."
[58-05] "The Bard soon got it through his head, along with half a dozen arrows, that maybe he needed to toughen up a bit before coming round here again."
[59-05] "Hurray! Hurray for the Bard!"
[5A-05] "If it isn't the Bard. I'm sure our leader Silkbeard will want to talk to you, he's in that large building across town, the one with most of its windows still intact."
[5B-05] "Ah, the sight of that dragon burning down the gates still brings a tear to my eyes."
[5C-05] "Are those villagers still outside?  Wish they'd hurry up and attack, we could all use a good brawl."
[5D-05] "This is the good life, if only uncle Hrafn could be here. Sigh. Ah well another drink to his name!"
[5E-05] "Hey what are you looking at? Move along now."
[5F-05] "Go find your own plunder!"
[60-05] "Surprisingly, the Bard found himself in the local tavern. There's a first time for everything I suppose. Trowie's Pub was once a quaint local hangout, but it much like the rest of the town had been overrun by Vikings."
[61-05] "I dunno what you've done, but the villagers don't seem to like you much. Come to think of it, neither do I."
[62-05] "Ah it's the Bard. A drink to your health Bard!"
[63-05] "zzzzzzz...."
[64-05] "It's a right pair of brass bollocks you've got, showin' your face around here."
[65-05] "Hold on, hold on, why the hostility? I've never even been to this town before... at least not that I can remember. In any case I've certainly done nothing to harm you."
[66-05] "As if you didn't know."
[67-05] "I don't."
[68-05] "Right. And next you'll be tellin' me it wasn't you that set the Orkney Dragon free."
[69-05] "Dragon?  What dragon?"
[6A-05] "D'you take me for a fool!? You think we don't know that you set the beast free to raze our city and let the Vikings come stormin' in afterwards."
[6B-05] "Oh is this that town? I do remember cracking open a big locked gate, but no one mentioned anything about a dragon."
[6C-05] "That's right. Play dumb. You'll get what's comin' to you."
[6D-05] "Well if that means riches and women I'm all for it, but it doesn't look like this town has either to offer now."
[6E-05] "Nobody to blame but yourself for that one. At least many of the villagers escaped and have been laying siege to the town, perhaps they'll make it in and rescue us eventually"
[6F-05] "I'm sure they will... I think I better be going now."
[70-05] "Yeah, go and don't come back."
[71-05] "Maybe I wasn't clear enough for you the first time, so let me put this in a way even the village idiot can understand. Get lost!"
[72-05] "Eeeek it's a rat! Oh somebody kill it! Kill it!"
[73-05] "All right, all right, steady on, the big scary rat is gone now."
[74-05] "Errr thanks Bard I um... not sure what happened there I... hey take this and don't tell anyone what you saw, ok?"
[75-05] "Not bad, my lips are sealed."
[76-05] "Welcome my friend. Take a look at my wares and I'm sure you'll find they're the finest materials from every corner of the globe. Only the best of the best is sold here."
[77-05] "That one? Pulled it out of a drunken Trow in Dounby. Cleaned up pretty nice. The dirk, not the Trow. That smelly bugger bled to death all over my best boots."
[78-05] "Nice choice, that. Lets you get close enough to hear their dyin' breath rattle out of 'em."
[79-05] "Here now. Got it off a southern dwarf; all I had to do was behead a couple of the King's Lawyers. Cheap at twice the price."
[7A-05] "Don't forget, it's especially good against bounders, rounders and blackguards; knaves and ne'er-do-wells, mountebanks, miscreants, rakes, rogues, scofflaws, scallywags, shysters of all stripes and scoundrels of the deepest dye."
