[01-00] "Here lies Erik the Viking, He fights in Valhalla now, Much to his liking."
[C1-02] "No! Damn... I mean... go away!"
[C2-02] "I don't know, you don't sound very nice."
[C3-02] "Tell you what, you go save the world, I'll stay right here where it's safe."
[C4-02] "No."
[C5-02] "Ahhhhhhh!"
[C6-02] "Thank you for saving my life... I guess you might be a decent fellow after all."
[C7-02] "Alright. Just don't hurt me, you said you meant no harm."
[C8-02] "I'm very sorry I didn't come outta hiding sooner but you see I've been down here a while, always running from the finfolk not to mention that crazy Viking. He thinks I'm in league with the finfolk, if you can imagine that."
[C9-02] "He's just an insane old man who runs off at the mouth. I lead him and his brother down here, helped them navigate the tunnels. I turn around for one moment and the two of them have gone off somewhere. Not that I was sad to see them go, if you think he talks too much you should have heard his brother. So I go looking for them and when the finfolk jump me I give out a yell for help and go hide myself. The next thing I know he's calling me a traitor and trying to kill me! I just want to get out of here with my skin intact."
[CA-02] "He's just an insane old man who runs off at the mouth, whatever you do don't let him launch into one of his stories... I'd rather be run through by a finfolk. I've been trapped down here for so long... always fearing for my life... I'm at my wits end. Now you must have gotten down here somehow... can you show me a way out?"
[CB-02] "Ok I get it... well the only thing I have of any value are the armbands my father left me... I... well, ok I'll let you have it if you show me a way out of here, it's all I have."
[CC-02] "Thanks!  Let's go."
[CD-02] "A deal's a deal, so I'll give you my armbands, even though you've done little to deserve them.  Well... good luck and good riddance."
[CE-02] "Here take this, its my most precious possession in the world. My father gave it to me when I was younger, but I want to thank you for what you've done for me."
[CF-02] "I'm not going that way, the Viking is over there and he'd like nothing better than to skewer me. You can go, but I'll wait here, thank you."
[D0-02] "Ready to go? I certainly am."
[D1-02] "You seem to be in quite a hurry my friend, why all the hacking? Is the ore going somewhere?"
[D2-02] "Well, you know what they say, survival of the fittest... Circle of life, and all that rubbish.  And I might add..."
[D3-02] "Don't let me interrupt your digging.  Ahh reminds me, when I was a kid my dog once buried my sister and I..."
[D4-02] "Sorry not the digging type. I might help in some other way if there were something in it for me."
