[00-00] "!MissingString!"
[02-00] "Health"
[05-00] "Stamina"
[06-00] "Hit Points"
[07-00] "chicken"
[08-00] "Press [7D-00] to leave area."
[09-00] "repeat"
[0B-00] "Press [7D-00] to open [02-26]."
[0C-00] "Press [7D-00] to speak with [3A-26]."
[0D-00] "Houton"
[0E-00] "The Drunken Rat"
[0F-00] "Houton Forest"
[10-00] "Fairyhaunt Woods"
[11-00] "Bugbear Cairn"
[12-00] "Houton Interior"
[13-00] "Highland Park"
[14-00] "Forest Tower"
[15-00] "Herne's Chamber"
[16-00] "Forest Tower, Level 1"
[17-00] "The Firbolg Mines"
[18-00] "The Underground River"
[19-00] "Finfolk Caverns"
[1A-00] "The Narrow Sea"
[1B-00] "Mountain Pass"
[1C-00] "The Frozen River"
[1D-00] "Frozen Tombs"
[1E-00] "Burial Chamber"
[1F-00] "Mountain Pass Tower"
[20-00] "Mountain Tower"
[21-00] "Mountain Tower, Level 1"
[22-00] "Mountain Tower, Level 2"
[23-00] "Mountain Tower, Level 3"
[24-00] "Lugh's Chamber"
[25-00] "Kirkwall"
[26-00] "Stromness"
[27-00] "The Farm"
[28-00] ""
[29-00] "."
[2A-00] "Press [7D-00] to use."
[2B-00] "Start New Game"
[2C-00] "Load Saved Game"
[2D-00] "Options"
[2E-00] "Credits"
[2F-00] "Music"
[30-00] "Vibration"
[31-00] "Subtitles"
[32-00] "Damage Text"
[33-00] "Return To Game"
[34-00] "Map"
[35-00] "Portraits"
[36-00] "Exit To Main Menu"
[37-00] "Difficulty"
[38-00] "Start Game"
[39-00] "On"
[3A-00] "Off"
[3B-00] "Strength"
[3C-00] "Vitality"
[3D-00] "Luck"
[3E-00] "Dexterity"
[3F-00] "Charisma"
[40-00] "Rhythm"
[41-00] "Continue"
[42-00] "Generate Character"
[43-00] "Easy"
[44-00] "Normal"
[45-00] "Olde School"
[46-00] "Quest Log"
[47-00] "Tune List"
[48-00] "Token List"
[49-00] "Tokens"
[4A-00] "Two-Handed Weapons"
[4B-00] "Dual Wield"
[4C-00] "Flail"
[4D-00] "Shield Bash"
[4E-00] "Shield Charge"
[4F-00] "Power Shot"
[50-00] "Critical Strike"
[51-00] "Treasure Hunter"
[52-00] "Riposte"
[53-00] "Heavy Parry"
[54-00] "Blade Dash"
[55-00] "Spinning Smash"
[56-00] "Whirlwind"
[57-00] "Arrow Storm"
[58-00] "Improved Critical Strike"
[59-00] "Damaged"
[5A-00] "Stats"
[5B-00] "Available:"
[5C-00] "Choose a Talent:"
[5D-00] "Rat"
[5E-00] "Mercenary"
[5F-00] "Knight"
[60-00] "Gouger"
[61-00] "Heroine"
[62-00] "Brute"
[63-00] "Fire Elemental"
[64-00] "Behemoth"
[65-00] "Thunder Spider"
[66-00] "Knocker"
[67-00] "Crone"
[68-00] "Enchantress"
[69-00] "Bodyguard"
[6A-00] "Rogue"
[6B-00] "Light Fairy"
[6C-00] "Explorer"
[6D-00] "Talents"
[6E-00] "Tunes"
[6F-00] "Demo"
[70-00] "Experience"
[71-00] "Health"
[72-00] "Mana"
[73-00] "Level"
[74-00] "Brightness"
[75-00] "Load Saved Game"
[76-00] "Loading..."
[77-00] "Talent List"
[78-00] "Badger Hide Gloves"
[79-00] "Belt of the Oak"
[7A-00] "Firbolg Armbands"
[7B-00] "Findruine Charm"
[7C-00] "Fae Locket"
[7D-00] "Phial of Medb"
[7E-00] "Rabbit's Foot"
[7F-00] "Silver Horseshoe"
[80-00] "Four Leaf Clover"
[81-00] "Badge of the Wind"
[82-00] "Boots of Quickening"
[83-00] "Lightning Stone"
[84-00] "Silver Torc"
[85-00] "Gold Coronet"
[86-00] "Mantel of Ossian"
[87-00] "Eagle Charm"
[88-00] "Ring of Tara"
[89-00] "Cormac's Chalice"
[8A-00] "Golden Thistle Ring"
[8B-00] "White Book of Rhydderch"
[8C-00] "White Book of Hergest"
[8D-00] "Broonie's Cloak"
[8E-00] "Falstone"
[8F-00] "Golden Spyglass"
[90-00] "Amulet of Llyr"
[91-00] "Strength +1"
[92-00] "Strength +2"
[93-00] "Strength +3"
[94-00] "Vitality +1"
[95-00] "Vitality +2"
[96-00] "Vitality +3"
[97-00] "Luck +1"
[98-00] "Luck +2"
[99-00] "Luck +3"
[9A-00] "Dexterity +1"
[9B-00] "Dexterity +2"
[9C-00] "Dexterity +3"
[9D-00] "Charisma +1"
[9E-00] "Charisma +2"
[9F-00] "Charisma +3"
[A0-00] "Rhythm +1"
[A1-00] "Rhythm +2"
[A2-00] "Rhythm +3"
[A3-00] "+50 Max Hit Points"
[A4-00] "+50 Max Mana"
[A5-00] "+10% Mana Regeneration Rate"
[A6-00] "+10% Health Regeneration Rate"
[A7-00] "+10% Experience"
[A8-00] "+10% Treasure Value"
[A9-00] "+1-5 Bonus Armor"
[AA-00] "???"
[AB-00] "Load Last Save"
[AC-00] "THE END"
[AD-00] "Auto-Allocate"
[AE-00] "[7C-00]Back"
[AF-00] "Get your own brew!"
[B0-00] "What are you, the town drunk?  Buy your own!"
[B1-00] "Very simple. (Glowering at patron) Touch my brew again, and die!"
[B2-00] "You were warned my friend."
[B4-05] "You're him, aren't you! You're the worthless chiseler my mom told me about!"
[34-06] "What've you got?"
[57-08] "Come and get me, you meanderin' moron!"
[58-08] "Ketill! Quit cowering up there like the frightened rodent that you are! Come out and fight!"
[59-08] "Ah, your mother's a Firbolg and your old man's a Trow!"
[5A-08] "You don't want to make me come up there!"
[6B-09] "Angus"
[6C-09] "Bannafeet"
[6D-09] "the screaming woman"
[6E-09] "Darraud"
[6F-09] "Ketill"
[70-09] "the kunal trow guard"
[71-09] "Mary"
[72-09] "Ogan's Mum"
[73-09] "the bar patron"
[74-09] "the bar patron"
[75-09] "the bar patron"
[76-09] "the priest"
[77-09] "the puppy"
[78-09] "Rory"
[79-09] "Sheriff Rucky"
[7A-09] "the mysterious old man"
[7B-09] "Old Man Vinters"
[7C-09] "the valkyrie"
[7D-09] "Gower"
[7E-09] "Dolyn"
[7F-09] "Hrafn"
[80-09] "Cathbad"
[81-09] "the drunks"
[82-09] "the villager"
[83-09] "Seamus"
[84-09] "The Bugbear"
[85-09] "the chest"
[86-09] "Dirk"
[87-09] "Silver Dirk"
[88-09] "Vipersteel Dirk"
[89-09] "Basluath"
[8A-09] "Sword"
[8B-09] "Broadsword"
[8C-09] "Caladbolg"
[8D-09] "Casgair"
[8E-09] "Quicksilver Broadsword"
[8F-09] "Ravensteel Broadsword"
[90-09] "Flail"
[91-09] "Crannderg"
[92-09] "Granite Flail"
[93-09] "Onyx Flail"
[94-09] "Balor's Eye"
[95-09] "Claymore"
[96-09] "Claidheamh Soluis"
[97-09] "Lochaber Axe"
[98-09] "Frecraid"
[99-09] "Longbow"
[9A-09] "Great Bow"
[9B-09] "Glaisne"
[9C-09] "Elderwood Bow"
[9D-09] "Blackthorn Bow"
[9E-09] "Blackthorn great bow"
[9F-09] "Bow of Bile Dathi"
[A0-09] "Silver (coin)"
[A1-09] "Ddraig Goch"
[A2-09] "2-Handed Axe"
[A3-09] "2-Handed Hammer"
[A4-09] "2-Handed Sword"
[A5-09] "Amethyst"
[A6-09] "Viking Axe"
[A7-09] "Black Pearl"
[A8-09] "Boar Pelt"
[A9-09] "Boar Tusk"
[AA-09] "Brass Ring"
[AB-09] "Copper Goblet"
[AC-09] "Cu Sith Pelt"
[AD-09] "Diamond"
[AE-09] "Emerald"
[AF-09] "Haggis"
[B0-09] "Viking Hammer"
[B1-09] "Jeweled Bracelet"
[B2-09] "Lifting Belt"
[B3-09] "Nuckelavee's Heart"
[B4-09] "Pearl"
[B5-09] "Polished Bones"
[B6-09] "Ruby"
[B7-09] "Seed Pod"
[B8-09] "Silver Candlestick"
[B9-09] "Viking Sword"
[BA-09] "Throwing Axe"
[BB-09] "Throwing Hammer"
