[01-00] "Here lies Erik the Viking, He fights in Valhalla now, Much to his liking."
[03-00] "I don't need your 'help' little man"
[AF-00] "Get your own brew!"
[B0-00] "What are you, the town drunk?  Buy your own!"
[B1-00] "Very simple. (Glowering at patron) Touch my brew again, and die!"
[B2-00] "You were warned my friend."
[B3-00] "It had come to this, at last.  One man on his own.  A poet and a rogue, with no friends to speak of, no one to mourn his passing should it come to that.  Even those beside him are no more boon companions than bondservants, summoned by sorcery and song, as cold and indifferent to him as the light of a wandering star."
[B4-00] "But to know where he is, and what may yet come to pass, we need to know who he is and where he is from..."
[B5-00] "And to know that, we've got to begin elsewhere..."
[B6-00] "And not that long ago. A simple man he was, neither laird nor lackey but a free man, with a quick wit and a sharp tongue, an eye for the lasses and a talent for keeping one step ahead of the law, come to Houton to play his tunes and make his way, as he has been doing all his life."
[B7-00] "He found himself standing outside the The Drunken Rat, a public house owned by the Widow Mary MacRary. The Bard readied his instrument and prepared to ply his trade."
[B8-00] "All hail the Bard, Rat-Killer and Rodent-Bane, who has bravely made the cellars once again safe for Buxom Bar Maids and Wanton Widows!"
[B9-00] "Or has he...?"
[BA-00] "The Bard finding himself wreathed in flame dashed up the stairs towards the safety of the tavern!"
[BB-00] "Run for it lad and live to fight another day!"
[BC-00] "All hail the Bard, Rat-Killer and Rodent-Bane, who has bravely made the cellars..."
[BD-00] "So The Bard headed up to his room to avail himself of the pleasures that the Inn had to offer."
[BE-00] "Having spent a lonely night in a somewhat uncomfortable and shabby bed the Bard awoke the next morning in a foul humor."
[BF-00] "Soon the Bard had begun to realize that he had been tricked into wasting his time."
[C0-00] "Of course, it was painfully obvious to the rest of us from the beginning."
[C1-00] "Thank goodness the heroic Bard was present to STOP that horrible Bugbear from looting the tomb of all its' precious treasures."
[C2-00] "Ahh!  A rat!  A rat!"
[C3-00] "You drunken louts! Get off your backsides and kill it!"
[C4-00] "Ah, what a strapping man you are, to be savin' me from that wee beastie."
[C5-00] "No, but aren't you the sweet one for asking.  Say, I've an idea.  If you'd be willing to do a little job for me, I'd give you a good meal..."
[C6-00] "...and a warm place to lay your head for the night..."
[C7-00] "Then it's a deal!  For it's a wee rat problem I've got in my cellars, and if you could do away with 'im, I'd be ever so thankful."
[C8-00] "You'll need a bigger sword than what you've got.  In case you run into trouble."
[C9-00] "Well, for someone who says he's not afraid of rats, you are sure procrastinating.  If you are afraid you can tell me... I won't have any interest in speaking with you any further... but you can tell me."
[CA-00] "Nicely done...or is that 'well-done'?"
[CB-00] "Now have another go at him with this!"
[CC-00] "You aren't still mad at me, are you?  If you get down there and kill that bad, horrible, awful monster we can kiss and make up..."
[CD-00] "Ooh. You're little friend's givin' me quite a charge. Bring him round again some time, won't you?"
[CE-00] "Run away again, did you?  Go back to where you came from and leave the fightin' to those who've got the guts for it."
[CF-00] "No need.  The stench you bring with you will be proof enough."
[D0-00] "Well, maybe there's more to you than meets the eye...?"
[D1-00] "You mean it's dead!?  Oh, thank you.  I can't tell you how grateful I am."
[D2-00] "Right away, I enjoy a man with a quick tongue. I'll see you get the finest room in the Inn, it's the one right next to mine."
[D3-00] "Why don't you wait while I fix you some leftovers... oh and your room in the back is almost ready."
[D4-00] "That was quite a night, I'm afraid you almost made me late opening the bar this morning. Oh, that strange friend of yours is waiting for you outside, I had to chase him away, he was unnerving some of my regulars. See you later love."
[D5-00] "You should go speak with that strange friend of yours he was starting to scare away my regular customers, I had to chase him out."
[D6-00] "Good day. What'll you have?"
[D7-00] "Oh, welcome back love, look that was nice and all but you aren't gonna start hanging about all day are you?"
[D8-00] "Hello there, no more rat problems in here so not much work for the likes of you."
[D9-00] "Good day."
[DA-00] "Well, hello again. Have you seen all the undead outside? You'd think I'd be scared, but my customers have been worthless zombies for years, so I'm used to it."
[DB-00] "I've seen yer trick before Bard, I won't be fallin' for it a second time."
[DC-00] "I'll save you, fair damsel!"
[DD-00] "I happened to be wandering by when I heard your cries over the rumbling of my empty belly. You aren't hurt, are you?"
[DE-00] "I'd be only too happy to handle anything you'd like to heave my way..."
[DF-00] "Rats you say? In the cellar... how cliché of you love, but I'll forgive you this once."
[E0-00] "Oh, my sword is quite big enough to handle any \"troubles\" you might have."
[E1-00] "Let's call that my tip"
[E2-00] "Quest Complete!"
[E3-00] "You better hope I've cooled off when I return or you're next!"
[E4-00] "It had better be more than a kiss to make up for that."
[E5-00] "Who the hell are you? How did you get down here?"
[E6-00] "Go on. Clear off out of it! I've no use for you."
[E7-00] "Great, so now the rat gets dinner and a show?  If it's so bloody powerful, use it yourself and save me the trouble."
[E8-00] "Done. Show me what you've got."
[E9-00] "Bloody hell!"
[EA-00] "How 'bout you tell the story and leave the sarcastic patronizing to me, okay!"
[EB-00] "Oh no.  The rat is the gutless one, for I spilt his about your cellar. I'd be only to happy to haul him up here for you to see....in fact, it might actually improve the ambiance of this place."
[EC-00] "I've plenty of guts, Milady, which is why you needn't trouble yourself about that rat any longer."
[ED-00] "Save it for the half-wits; what you can do for me is best done in silence. You knew what was down there, you and all the rest of your tartan-clad trash. So how about less chatter and more chow. And be quick about it."
[EE-00] "T'was the least I could do for a damsel in distress.  Now...how about that meal?"
[EF-00] "Look here laddie, don't be concerning yerself with such things right now. I'm here to help ye with yer rat problem. Any brute can swing a sword; if ye really want to slay that hairy beastie, try playing this tune on that lute of yours."
[F0-00] "I'm not offerin' to go with ye, laddie.  I'm offerin' ye a bit o' song an' magic that'll bring ye back in one piece."
[F1-00] "Would that I could. But I'm not a man o' action like yerself. So do yerself a favor an' take a little charity when it's offered my boy."
[F2-00] "hah hahah ahaha hahaha"
[F3-00] "hah hahah ahaha hahaha"
[F4-00] "Hey I understand your hesitation stranger... there isn't enough ale in this town to get me to go down there.  Then again, I'm a cowering sort."
[F5-00] "Not well done.  More like medium rare."
[F6-00] "Don't feel too bad, laddie; I've a bigger rat back home.  Hell, I'm married to it."
[F7-00] "Hey!  Can't you read!  No pets allowed."
[F8-00] "Very impressive young man.  I wish I had the guts to stand up to the wife the way you stood up to that rat... but of course she's a lot more vicious."
[F9-00] "I'm sure you've seen all the hideous things going on out there.  Most likely the end is near, but fortunately I finally have a good excuse not to go home to the wife."
[FA-00] "What are you, a man or a mouse?  Get down there and Mary may have a go with you.  You wouldn't want to be the only man in town she hasn't had a go with, would you?"
[FB-00] "What's that son?  I can't hear you!  Rat got your tongue?"
[FC-00] "Take him outside!  One little spark and you'll blow this pub to the moon!"
[FD-00] "Yeah, yeah, yeah... so you killed a rat... what do you want, a medal?"
[FE-00] "You should just stay in here and get drunk with us my friend.  The whole town is going to hell in a basket, so what the hell are we gonna need a liver for?"
[FF-00] "That Rat is not going to kill itself!  Get down there and earn a meal for once!"
[00-01] "Hey not so close fellow, your still smoking and this drink is flamable!"
[01-01] "Shocking, shocking. Absolutely shocking!"
[02-01] "You killed it? You killed it? The Fire Breathing Rat in the Cellar was the best practical Joke we had!  Now what are we supposed to do to entertain ourselves?"
[03-01] "Well the best part about the dead rising is that now our Giant Rat is ready and waiting for the next stranger to wander into town."
[04-01] "Dummy string."
[05-01] "What'd I tell ye, lad?  Ye hooked him and cooked him!"
[06-01] "Ye're welcome, boyo. And should ye be looking for another one like it, find the Trow in the Fairyhaunt woods. But keep yer wits about ye; they're devilish clever, the Trow, with magic by the pound and not a single scrap o' honesty."
[07-01] "Come now boyo, what's a little danger when compared to power? Didn't that little trick I showed ya help ye get in good with the widow Macrary? If it's yer skin that ye're worried about I've a wee trinket here that'll keep ye safe from harm."
[08-01] "Come now boyo, what's a little danger when compared to power. If ye'd had a bit more power maybe the widow Macrary would've taken more of a liking to ya? If it's yer skin you're worried about I've a wee trinket here that'll keep ye safe from harm."
[09-01] "Thanks to that song you gave me."
[0A-01] "Do I look like the village idiot to you?  I've had more than my fill of barbarian hordes, evil wizards, cities locked in eternal winter and any other type of adventure you'd care to throw my way. There's too much danger and not enough profit to go around."
[0B-01] "Hmm, sounds a little dangerous to me, I don't care much for Trow. I think I'll pass."
[0C-01] "She's very beautiful, but I've found that mysterious strangers offering gifts usually lead to trouble, you wouldn't want anything from me would you? Have any ulterior motives by any chance?"
[0D-01] "You've obviously heard of me so you know I'm not a man to be trifled with. I've come to learn a bit of magic and I won't take no for an answer."
[0E-01] "You must be Bannafeet. I've been sent here about a tune you might be willing to part with."
[0F-01] "You must be joking."
[10-01] "You people try my patience, ok I'll do it."
[11-01] "Well I might be persuaded."
[12-01] "Ok, I'll do it, but you had better keep your end of the bargain"
[13-01] "All right, let's hear this favor then"
[14-01] "Done. Just have that song for me when I get back. I'm no man's errand boy."
[15-01] "Well now, who've we here, eh?  You must be the fellah who's been chasin' all over, puttin' the touch on the locals with that shockin' beast of yours."
[16-01] "Oh, don't hurt me, friend, don't hurt me and I'll tell you where to find a song worth knowin'."
[17-01] "Go back into the center of town and head to the town well. Climb down to the bottom of it and there you will find exactly what you deserve."
[18-01] "Tis no joke my friend, what yer lookin' for is at the bottom of that well."
[19-01] "Well, I've half a mind to gut you like a fish, but you're likeable enough I suppose.  If you weren't, I'd send you down to the well and be done with you.  But... It just so happens I do know a bit of magic, and I'd be willing to teach it to you, if you were to do something for me in return."
[1A-01] "There's a man in the forest jail by the name of Ketill Swart.  Spring him free for me and you'll get your song. You don't have to worry about any guards at the Jail, they've been chased off by the Kunal Trow. I can't help you with the patrols, but you can get through the door with only a password.  Just tell the Trow guarding the door \"fiddlesnarf\" and he'll let you in with no questions asked. When Ketil is free, come back here and I'll teach you some magic. Fair enough?"
[1B-01] "Now it just so happens that I do know a wee song, and if you'd do me a little favor, I might be willing to part with it"
[1C-01] "I've a friend in the forest jail by the name of Ketill Swart.  Spring him free for me and you'll get your song. You don't have to worry about any guards at the Jail, they've  been chased off by the Kunal Trow.  I can't help you with their patrols, but you can get through the door with only a password.  You'll need to say \"fiddlesnarf\" to the Kunal Trow guarding the door to be let in."
[1D-01] "So, just get him out, and then come back here and I'll teach you some magic. Fair enough?"
[1E-01] "Well, look who it is!  Find anything interesting in the well?"
[1F-01] "Maybe now you'll have a wee bit more respect for your betters, eh?"
[20-01] "Look here, calm down. I was just having a wee bit of fun at your expense no need to get murderous about it."
[21-01] "You call yourself a dog!?  I've seen rats bigger than you!  Go away!"
[22-01] "Well now, you're a spry little thing. I could do with a friend. Care to throw in with me?"
[23-01] "How 'bout some cheese to go with that whine!?  I've had enough overgrown rats!  Now clear off out of here, you runt!"
[24-01] "I'm sorry, boy, but I have seen a rat bigger than you. He was twice my size, and almost cooked me for lunch. I'll tell you what: you come with me and we'll look out for one another. Whattya say?"
[25-01] "You'll find nothing in here sir. And you best be off or I'll call the Sheriff on ya."
[26-01] "AAAAAHHHHAHAHAHAHAHAHAH!!!!"
[27-01] "What d'ye want?  If you're a thief, you'll get nothin' from me; for I've only these old bones and a heavy heart."
[28-01] "I know how you might come by some money, you impudent rascal!  For it's a cruel Bugbear that's been keepin' the farmers from observin' their rituals in the Houton Cairn.  Without 'em, the crops won't grow and the wee'uns go hungry."
[29-01] "Of course you are, young sir.  And I happen to know how you might find some. For it's a cruel Bugbear that's been keepin' the farmers from observin' their rituals. And us farmers have to perform our rituals at the Houton Cairn, without 'em, the crops won't grow and the wee'uns go hungry."
[2A-01] "It's a hard young man ye are, to be sure, and ought to be kinder to your elders.  As for the Bugbear, you'll find him in the cairn. When you're done with him, come back here and we'll pay you what we can."
[2B-01] "Ah, bless you my boy; I knew you for a game lad the moment I saw you.  As for the Bugbear, you'll find him in the cairn. When you're done with him, come back here and we'll pay you what we can."
[2C-01] "Listen, lad, there's nothin' I'd rather do than sit around and sing songs by the fire, but don't you have a Bugbear to kill?"
[2D-01] "A blessing on your head and all your tasks, young fellow.  We should have figured it was ole Vinters pulling that stunt. We passed the hat and collected all the silver we could; here's some pieces for all your troubles.  Take 'em and be well."
[2E-01] "Well, I had my misgivings when we met, but you're a good fellow after all. We should have figured it was ole Vinters pulling that stunt.  Here's some pieces of silver to line your pockets.  I'm sorry it's not more, but we've hungry mouths to feed, and precious little to do it with."
[2F-01] "Look who it is. The cock o' the walk ye are now, I'll bet, and just as nasty to your elders. Still, a deal's a deal, so here's your blood money, you spawn, and I hope you choke on it!"
[30-01] "My thanks again young man!"
[31-01] "And the gift of gab, Old Timer. So, tell me where might I find a bit of silver and I'll be out of your hair.  What's left of it."
[32-01] "Sorry, Granddad.  I didn't expect to find you here, or frighten you when I did. I'm only out looking for a bit of silver to line my pockets."
[33-01] "So it's a bit of killing you want done, eh?  Fair enough, but I should warn you, my blade doesn't come cheap."
