[01-00] "Here lies Erik the Viking, He fights in Valhalla now, Much to his liking."
[66-01] "What you staring at? Never seen a Firbolg before?"
[67-01] "Sorry"
[68-01] "Excuse me."
[EC-01] "Care to make a donation my son?"
[2E-03] "And so the Bard arrived in Kirkwall, a peaceful and quiet town. The place seemed oddly familiar, and he would soon learn why."
[2F-03] "Oh my Lord!  I don't believe it!  I truly don't believe it!!  Do my eyes deceive me?"
[30-03] "One can only hope."
[31-03] "So much for peaceful and quiet."
[32-03] "My eyes speak the truth. My love has indeed returned. Although you vowed to return to my arms, time had cast doubt upon my heart.  It's been so long since that magical night."
[33-03] "Yes, a night of bewilderment, much like this moment. I've returned for you, but I was so afraid when I saw you again, my eyes would not recognize you. And yet, here you are."
[34-03] "I'm truly sorry milady, but I'm afraid you've mistaken me for someone else. Someone less handsome I'm sure. I get that all the time."
[35-03] "Yes, the woman you professed your love to. Oh my heart, when I awoke that morning to find you gone, I was sure something had happened to you."
[36-03] "Surely you jest. That moonlit night, in the barn, up in the loft, you said you loved me, you said it was the most passionate moment you had ever experienced."
[37-03] "Yes m'lady. I went out that morning to pick you the most beautiful flowers in the land, and was abducted by a band of rogue gypsies. Only thoughts of you gave me the strength to fight and find my way back here."
[38-03] "To be honest, I'm sure I just came to my senses. Look, I'm sorry, I can't go on with this lie. I don't remember you, which means one of two things. Either we've never met, or that night was just magical for one of us."
[39-03] "Wait, wait, it's coming back to me. You must forgive me, for I have battled many men, faced many perils to return to you. A lot of men, many blows to my head. Of course I remember you my love, and I'm so happy to be with you once again."
[3A-03] "Can you be more specific?  I get a lot of that too. Look,  I'm sorry. I don't remember you, which means one of two things. Either we've never met, or that night was just magical for one of us."
[3B-03] "Oh my love, we'll share a lifetime of memories. Father will be so pleased. You must come around to the farm to meet him. I'm certain he'll love you as much as I."
[3C-03] "More love than I deserve I'm sure. Alas, I must leave you now to seek gifts to present to you and your father. You'll soon know how much my heart yearns for you, I promise."
[3D-03] "Until we meet again my love."
[3E-03] "And therein lies the loophole."
[3F-03] "Why I've never been so insulted in all my life."
[40-03] "Think hard, I'm sure you have"
[41-03] "When my father finds out, you'll get what's coming to you.  You're nothing but a... a... a beast!"
[42-03] "That obviously didn't bother you before."
[43-03] "You'll pay!!  I swear to you, you will pay!"
[44-03] "I already have. I must get myself a chastity belt, to keep me out of such trouble on such desperate nights."
[45-03] "You'd do all the world a favor if you threw away the key."
[46-03] "Don't go near old Finn's farm. He always packs a crossbow and he's eager to use it."
[47-03] "I don't know about you but I'm not sure about these Firbolgs, I mean they aren't even human!"
[48-03] "That shopkeeper kicked me out of his store when I asked if I could buy something on credit."
[49-03] "I saw a strange hooded man outside of town the other day, he was poking around near that old tower."
[4A-03] "Poor Connor! He should count himself lucky she isn't interested in him."
[4B-03] "I have a cousin who's an explorer, last I heard he was looking for a tomb way up in the mountains. I hope he's alright I'm a little worried about him."
[4C-03] "Some little kid just hit me with a stick, said he was the chosen one and he was gonna slay me. Do I look like a monster to you?"
[4D-03] "Excuse me, do you know where I might find one Bodb?"
[4E-03] "Aye, I be one Bodb. And may I ask who you be?"
[4F-03] "I ask the questions around here. I've been sent to you from Houton by one of your brothers. Do you have some music for me?"
[50-03] "I 'm a weary traveller in need of a small favor. I've been sent here from Houton by one of your brothers. I was told you would have some music that might be of interest to me."
[51-03] "Well someone got up on the wrong side of the haystack this morning.  How do I know you to be a trustworthy soul?"
[52-03] "It will be my pleasure to assist you. But first, how do I know you speak the truth about coming from Houton?"
[53-03] "How about this?  Count to three, and if you're not dead, you can trust me."
[54-03] "I can only ask that you believe what I say is true."
[55-03] "A man of conviction, I can respect that. Listen my friend, my name is Bodb, but it is another Bodb you seek. I'll be glad to take you to him."
[56-03] "As if you had a choice."
[57-03] "The Bard and Bodb traveled together in search of another Bodb."
[58-03] "Ok, here's what you do. Go down this street and you'll find the real Bodb."
[59-03] "Your name isn't Bodb?"
[5A-03] "Of course it is, why would I lie about that?"
[5B-03] "But you said..."
[5C-03] "I'm Bodb, I'm just not the Bodb you want.  It's not like I've cornered the market on the name Bodb."
[5D-03] "I'm not too fond of your attitude."
[5E-03] "Good, that means I've done as intended.  Now just take yourself that way, and you'll find who you need.  Just ask for Bodb, and tell him Bodb sent ya."
[5F-03] "Excuse me, are you Bodb by any chance?"
[60-03] "And who's asking?"
[61-03] "Hello there Bodb."
[62-03] "Oh good day Bodb. How's Agnus?"
[63-03] "Good, good.  And your Agnus?"
[64-03] "She's great. And the twins?"
[65-03] "Can we get on with this please?"
[66-03] "And who is this?"
[67-03] "I'm the man who would gladly make one less Bodb around here if you don't tell me what I need to know."
[68-03] "Just a simple and confused traveler who's been sent here to ask your assistance."
[69-03] "Now my good man, no need for violence.  You'll find you cannot know enough Bodb's.  I assure you we're here to help."
[6A-03] "Oh but we're not here to confuse, I assure you.  Just tell me what you need."
[6B-03] "You can help a little more by yapping a little less. Just teach me this magic and I'll be on my merry way, and your nose will remain in the middle of your face."
[6C-03] "Thank goodness. Just teach me the magic you know, and I'll thank you and be on my way."
[6D-03] "I must confess I like my nose where it is.  That being said, had I known you wanted Magic Bodb we could have saved a lot of time."
[6E-03] "You mean there's ANOTHER Bodb?"
[6F-03] "Of course.  If only you could have been more specific.  Come along, I'll take you to him."
[70-03] "For your sake, the third time had better be the charm."
[71-03] "Oooohhhh... You want the MAGIC Bodb. Well why didn't you say so?"
[72-03] "You better be joking."
[73-03] "If only I were my friend. I wish I could help you, but you want the Bodb down the street.  Try to be more specific next time."
[74-03] "Maybe my blade can be more specific."
[75-03] "Now don't be angry with me because of your lack of communication skills.  Move along, Bodb is waiting. And tell him Bodb said hello."
[76-03] "With pleasure."
[77-03] "So in a moment of dejavu, the Bard walked off to meet Bodb.  So in a moment of dejavu, the Bard walked off to meet Bodb."
[78-03] "Very funny."
[79-03] "I'm almost afraid to ask this, but is your name Bodb?"
[7A-03] "That's the name I go by.  And what do you call yourself?"
[7B-03] "Your worst nightmare if you don't give me what I want."
[7C-03] "Call me frustrated. But I'm hoping you can end this vicious circle I'm caught up in."
[7D-03] "I can see that if you were in my dreams I'd wake up in a cold sweat. Whatever I can do to keep you out of them, just ask."
[7E-03] "You poor man. If only I had the slightest bit of sympathy for a frustrated weary stranger taking up my precious time. But I suppose I can give you one question."
[7F-03] "Unless you wish to be in a dream state permanently, you will give me the magical tune I came here for."
[80-03] "If it wouldn't be too much trouble, I was told you could teach me a magical tune."
[81-03] "If you put me in a permanent dream state, then how could I take you to the Bodb who can actually help you. The magic I do is basic. Illusions, card tricks, palm readings.  I'll take you to the Bodb who knows the magical tunes. Come along my friend."
[82-03] "Magical tunes?  I see, magical tunes.  Well my friend, the only magic I could show you would involve a deck of cards, which I lost in a poker game ironically enough.  If you want magical tunes, that would be my good friend Bodb. You'll find him right down the street.  Good day to you."
[83-03] "Fair enough, here's my question.  Would you prefer to die by cold steel or strangulation?"
[84-03] "Really?"
[85-03] "Is old age an option?  Otherwise, how could I take you to the Bodb who can actually help you. The magic I do is basic. Illusions, card tricks, palm readings. I'll take you to the Bodb who knows the magical tunes. Come along."
[86-03] "Of course. That was an excellent question.  You're much brighter than you appear. Bright enough that I'm sure you can seek out my friend Bodb down the street. He has a soft spot for simpletons such as yourself.  Make sure you tell him I said hello."
[87-03] "You Bodb?"
[88-03] "Yes."
[89-03] "Uhhh yeah, let me see if I can put this succinctly. Give me what I want or I'll kill you. Is that clear enough?"
[8A-03] "Please, please help me!"
[8B-03] "You got it."
[8C-03] "I'm sorry, the law around these parts forbids begging.  Maybe one of my other friends will give you a breadcrumb or two. Move along."
[8D-03] "These bodbs had quite the wicked tongues. The old adage of \"if you can't beat them, join them\" was a piece of wisdom that our hero would have done well to remember."
[8E-03] "Go this way."
[8F-03] "Go this way."
[90-03] "Go this way."
[91-03] "Go this way."
[92-03] "This is the way to go my friend."
[93-03] "This is the way to go my friend."
[94-03] "This is the way to go my friend."
[95-03] "This is the way to go my friend."
[96-03] "Over here."
[97-03] "Over here."
[98-03] "Over here."
[99-03] "Over here."
[9A-03] "This is the direction to go."
[9B-03] "This is the direction to go."
[9C-03] "This is the direction to go."
[9D-03] "This is the direction to go."
[9E-03] ""
[9F-03] "No, no, not that way."
[A0-03] "No, no, not that way."
[A1-03] "No, no, not that way."
[A2-03] "That's the wrong way."
[A3-03] "That's the wrong way."
[A4-03] "That's the wrong way."
[A5-03] "That's the wrong way."
[A6-03] "Weren't you watching?  Not that way."
[A7-03] "Weren't you watching?  Not that way."
[A8-03] "Weren't you watching?  Not that way."
[A9-03] "Weren't you watching?  Not that way."
[AA-03] "I'm not here pointing for my health you know."
[AB-03] "I'm not here pointing for my health you know."
[AC-03] "I'm not here pointing for my health you know."
[AD-03] "I'm not here pointing for my health you know."
[AE-03] "You might want to try opening your eyes."
[AF-03] "La la la la la la la la la laaa."
[B0-03] "You might want to try opening your eyes."
[B1-03] "You might want to try opening your eyes."
[B2-03] "La la la la la la la la la laaa."
[B3-03] "La la la la la la la la la laaa."
[B4-03] "La la la la la la la la la laaa."
[B5-03] "La la la la la la la la la laaa."
[B6-03] "La la la la la la la la la laaa."
[B7-03] "Is it something I said? Come back over here."
[B8-03] "La la la la la la la la la laaa."
[B9-03] "La la la la la la la la la laaa."
[BA-03] "Hey, like I have all day!"
[BB-03] "Hey, like I have all day!"
[BC-03] "Hey, like I have all day!"
[BD-03] "Hey, like I have all day!"
[BE-03] "I have better things to do with my life besides waiting around for the likes of you."
[BF-03] "I have better things to do with my life besides waiting around for the likes of you."
[C0-03] "I have better things to do with my life besides waiting around for the likes of you."
[C1-03] "I have better things to do with my life besides waiting around for the likes of you."
[C2-03] "Hey, let me tell you how fun it is waiting around for you twiddling my thumbs."
[C3-03] "Hey, let me tell you how fun it is waiting around for you twiddling my thumbs."
[C4-03] "Hey, let me tell you how fun it is waiting around for you twiddling my thumbs."
[C5-03] "Let me tell you how much fun it is waiting around for you twiddling my thumbs."
