[01-00] "Here lies Erik the Viking, He fights in Valhalla now, Much to his liking."
[ED-01] "Could you be any more melodramatic? It's bloody cold enough here without you making it worse."
[EE-01] "I don't know if you noticed, but it's a bit chilly here at the pass."
[EF-01] "Tell that to my arse."
[F0-01] "That's really... helpful. Why don't you stand in the back and not say anything, ok?"
[F1-01] "This must be the entrance to those tombs that dear deceased Bodb mentioned. Hmm... Talk about a chilly reception.  I won't be getting through there any time soon."
[F2-01] "Stop, stop, hold on. You don't appear to be freezing your arse off in this cold. What's your secret?"
[F3-01] "Well, as long as we're on the subject of your arse, let's talk about how I'll kick it up and down that mountain if you don't give me a chug of that."
[F4-01] "Well my warm-arsed friend, let us share a drink and a new friendship."
[F5-01] "I see you're a man who thinks ahead. Now if you'd like to keep yours, hand it over."
[F6-01] "I see you're a man who thinks ahead. I bow before your wisdom, and hope you share your warm brew with a fellow traveler in need."
[F7-01] "Aaaahhhh... Magical and tasty."
[F8-01] "That may be something you'll want to put on the warning label."
[F9-01] "Oh, the old fake peddler trick! My mother always warned me to be careful who I drink with... or is it whom?"
[FA-01] "As long as my arse is warm."
[FB-01] "For some reason I don't share your enthusiasm."
[FC-01] "Nobody asked you!"
[FD-01] "No, I was talking to... Never mind."
[FE-01] "Yes, you do hear someone. Whether it's your rescuer is up for negotiation."
[FF-01] "Hello? Can you hear me? Who are you?"
[00-02] "From the sound of you, I doubt you could offer me neither coin nor cleavage. Hardly worth my time."
[01-02] "I've no way to knock down a wall of ice but let me take a look around to see if I can find anything that might help to free you. Don't go away."
[02-02] "I thought you were dead, or do you always emit that stench?"
[03-02] "You still there my trapped friend?"
[04-02] "Sure. Now stand back while I chisel you out with my bare hands. In the mean time, do you have anything useful to tell me about this place?"
[05-02] "I haven't just yet, do you have any clue as to where I might find something to help get you out?"
[06-02] "Are you still wasting oxygen?"
[07-02] "I'm thankful you're still alive."
[08-02] "You sound like someone who just climbed out from under a rock, I'm surprised you aren't better at exploring underground. Are you sure you don't have any information for me?"
[09-02] "I'm doing all I can for you. Is there any other information you can give me that may help?"
[0A-02] "I admire your ability to cling to life under circumstances where most would have died. Kind of like a cockroach."
[0B-02] "You still there?"
[0C-02] "Just making sure you haven't died. If someone walked in and found me talking to myself, I'd be so embarrassed."
[0D-02] "Just making sure you're still in good health."
[0E-02] "This looks like just the thing I'll need to get through those doors with the big Ravens in front of them. And what's this? A map eh? Let's see... been there, been there... ah, Dounby that looks interesting."
[0F-02] "Let's see, hmm... Dead viking holding the stone I need. Hmm... You're sure you're not gonna come to life on me are you?"
[10-02] "Hello? Gonna wake up on me?"
[11-02] "Oh come on, we both know you're going to spring to life when I least expect it. May as well get it over with and do it now."
[12-02] "I knew it, I knew it, I knew it. You northmen just don't seem to know when to stay dead!"
[13-02] "Maybe not Valhalla but I'll see you back in your grave soon enough."
[14-02] "Is it me? Or did it suddenly just get hot in here?"
[15-02] "If not then take me instead."
[16-02] "ooh just got a little colder."
[17-02] "What happened?"
[18-02] "Hahahahahahaha! That's priceless that is! I only wish that I could have been there. Hahahahaha."
[19-02] "That's a shame about being trapped in this tomb and all but no sense in both of us being stuck here. Why don't you lend me that stone so I can get out of here?"
[1A-02] "I'm sorry, I don't think I made myself clear. Hand over the stone or I'll gut you!"
