[01-00] "Qui Erik il Vichingo giace, a Valhalla ora combatte, così assai gli piace."
[E2-00] "Missione Compiuta (Terst 3)!"
[EA-05] "Allora è vero."
[EB-05] "Non so a che gioco reciti venendo qui, ma se ne pentirà. Lasciatelo passare senza ostacoli per il cancello nord. Quando è dentro la città, attaccheremo."
[D5-06] "È sfuggito alle nostre trappole?"
[D6-06] "È più forte di quanto prevedavamo maestro."
[D7-06] "Voi andate alla torre. Una volta che lui entra chiudete le porte, anche se sconfigge Mannanan questa torre diverrà la sua tomba."
[D8-06] "Sì mio signore."
[D9-06] "Mackay ho un compito speciale per te, questo Bardo sembra un po' troppo forte per i nostri uomini."
[DA-06] "Lui è proprio un maestro, tuttavia se ci dessero un'altra possibilità sono sicuro..."
[DB-06] "Abbiamo esaurito le possibilità, devi affrontarlo. Intercettalo prima che raggiunga la torre... prendete il mio cucciolo con voi per assicurarvi che non sopravviva."
[DC-06] "Lui non ha buone possibilità."
[60-07] "Sono scioccato dal conflitto e dal dolore che ha sofferto questa bellissima anima. È davvero durato troppo, e sarà nostro piacere andare a liberarla. Dobbiamo assicurarle la libertà."
[62-07] "I tentativi di Cathbad sono falliti. Questo...Bardo ha eluso una delle sue trappole, raggiungendo la Torre della Montagna. Lugh dovrebbe essere in grado di sbarazzarsene, ma raduna un po' di Fratelli e assicurati che non abbandoni la torre ancora in vita."
[63-07] "Sì, mio signore."
[64-07] "Vedete di non fallire. Usate qualunque mezzo per fermarlo. Sapete cosa c'è in gioco."
[65-07] "Faremo come comanda."
[CA-08] "Mentre il Bardo si avvicinava alla Torre nella foresta, una scena di grande interesse si svolgeva in cima ad un'altra torre, nella città di Dounby, a molte miglia di distanza..."
[CB-08] "Cathbad, raduna i fratelli. Qualcuno si sta avvicinando alla prima torre."
[CC-08] "Immediatamente, signore!"
[CD-08] "Mackay... sveglia... il cucciolo."
[CE-08] "Sì, mio signore Fionnaoch."
[F1-08] "Ed ecco la triste situazione. Un uomo solo. Allo stesso tempo poeta e furfante, senza amici nella vita, senza nessuno che pianga la sua morte. Perfino quelli al suo fianco non sono compagni bensì schiavi, convocati dalla magia e dalla canzone, così freddi e indifferenti verso lui come la luce di una stella vagante."
[F2-08] "Ma per sapere dove si trova, e cosa ancora può accadere, dobbiamo sapere chi è e da dove viene..."
[F3-08] "E per scoprirlo, ci occorre cominciare altrove..."
[F4-08] "Non passerò un'altra volta la stessa cosa! Possiamo continuare per favore?"
[F5-08] "Ehm.. Mi dispiace... mi sono fatto prendere... come hai fatto tu."
[F6-08] "Hai commesso un errore venendo qui, Bardo. Non hai possibilità di superarmi, voltati e vattene."
[F7-08] "Se non ho alcuna possibilità, perché mi proponete un'uscita? Per caso siete spaventato senza l'aiuto della vostra bestiola?"
[F8-08] "Questa volta di voi me ne occuperò personalmente, Bardo."
[F9-08] "Finalmente ci incontriamo."
[FA-08] "Finalmente?  Ci conosciamo?"
[FB-08] "No, ma vi conosco... e potrei aggiungere..."
[FC-08] "Si, si, si, lo so.  Mi è già capitato tutto questo.  Voi non passerete, vi ucciderò sul posto. Siete un idiota.  Blah, blah, blah.  Già l'ho sentito prima.  Possiamo saltare questa parte e andiamo al sodo?"
[FD-08] "Sono d'accordo, più in fretta morirete e meglio sarà."
[FE-08] "Questo l'ho già sentito."
[FF-08] "Mio campione, finalmente posso guardarvi in viso."
[00-09] "Siete ancora più bella di persona mia signora. Un momento, e vi libero da questa prigione."
[01-09] "Siete un tale stupido, Bardo."
[02-09] "E posso sapere il nome dell'uomo che mi considera stupido?"
