[01-00] "Qui Erik il Vichingo giace, a Valhalla ora combatte, così assai gli piace."
[03-00] "Non ho bisogno del tuo "aiuto", omuncolo"
[AF-00] "Vatti a prendere la tua di birra!"
[B0-00] "E tu chi sei, l'ubriacone della città? Compratene una!"
[B1-00] "Semplicissimo. (Guardando storto l'avventore) Tocca ancora la mia birra e morirai!"
[B2-00] "Io avevo avvisato, amico."
[B3-00] "Alla fine si giunge a questo. Un uomo solo. Un poeta e un furfante, senza nessun amico con cui confidarsi, nessuno che lo rimpianga se il destino lo sceglie. Persino quelli vicini a lui non sono compagni di bagordie ma piuttosto schiavi, sottomessi attraverso magia e canti, freddi e indifferenti verso di lui come la luce di una stella vagante."
[B4-00] "Ma prima di sapere dove si trova, e a cosa va incontro, abbiamo bisogno di sapere chi è e da dove viene..."
[B5-00] "E per scoprirlo, dobbiamo iniziare la storia in un altro luogo..."
[B6-00] "Non molto tempo fa, era un uomo semplice, né padrone né servo ma un uomo libero, di pronto spirito e lingua tagliente, con un occhio di riguardo per le donzelle e sempre un passo avanti rispetto alla legge. Venne a Houton per suonare le sue melodie e continuare per la sua strada, come aveva fatto per tutta la sua vita."
[B7-00] "Si trovò a passare davanti al "Ratto Ubriaco", una locanda di proprietà della vedova Mary Macrary. Il Bardo rispolverò i suoi strumenti e si preparò ad esercitare il proprio mestiere."
[B8-00] "Gloria al Bardo, sventura dei ratti e flagello dei roditori, che con coraggio ha reso nuovamente sicure le cantine, in nome delle Locandiere Formose e delle Vedove Capricciose!"
[B9-00] "O forse..."
[BA-00] "Il Bardo, avvolto dalle fiamme, si precipitò su per le scale della taverna verso la salvezza."
[BB-00] "Scappa, ragazzo, e vivi per combattere ancora!"
[BC-00] "Gloria al Bardo, sventura dei ratti e flagello dei roditori, che ha coraggiosamente liberato ancora una volta..."
[BD-00] "E così il Bardo si diresse verso la sua stanza per godersi i piaceri che la Locanda poteva offrirgli."
[BE-00] "Dopo aver passato una notte da solo, su un letto scomodo e infestato dai pidocchi, il Bardo si svegliò il mattino seguente di cattivo umore."
[BF-00] "Più tardi il Bardo capì di essere stato ingannato e di aver sprecato il suo tempo."
[C0-00] "Naturalmente, per noi era ovvio fin dall'inizio."
[C1-00] "Grazie al cielo il valoroso Bardo era lì per IMPEDIRE a quell'orribile mostro di depredare le tomba dai suoi preziosi tesori."
[C2-00] "Ahh! Un ratto! Un ratto!"
[C3-00] "Razza di ubriaconi! Alzate le chiappe e fatelo fuori!"
[C4-00] "Ah, che uomo coraggioso che siete, a salvarmi da quella bestiolina!"
[C5-00] "No, ma sei davvero gentile a chiedermelo. Ascolta, ho un'idea. Se sei disposto a fare un piccolo favore per me, ti darò un buon pasto..."
[C6-00] "...e un letto caldo dove poter riposare questa notte..."
[C7-00] "Affare fatto! Ti sarei per sempre debitrice se ti sbarazzasti di quel minuscolo ratto che infesta le mie cantine."
[C8-00] "Avrai bisogno di una spada più grande di quella che possiedi, nel caso finissi nei guai."
[C9-00] "Beh, per essere qualcuno che afferma di non avere paura dei ratti...te la stai prendendo comoda. Se hai paura, dimmelo. Certo non avrò più interesse nel parlarti...ma puoi ammetterlo liberamente."
[CA-00] "Ben fatto...o forse è meglio dire "ben cotto"?"
[CB-00] "Ho qui con me qualcosa che ti farà piacere avere!"
[CC-00] "Non sei in collera con me, vero? Se scendi e uccidi quell'orribile, cattivo e spaventoso mostro potrei concederti un bacio..."
[CD-00] "Oh, il tuo piccolo amico è davvero simpatico, mi fa impazzire. Fallo ritornare qui qualche volta, eh?"
[CE-00] "Scappi ancora, eh? Torna da dove sei venuto e lascia che a combattere siano quelli che hanno il fegato per farlo!"
[CF-00] "Non ce n'è bisogno. Il fetore che emani è sufficiente."
[D0-00] "Beh, non si può certo dire che tu non abbia risorse nascoste..."
[D1-00] "Vuoi dire che è morto? Oh, grazie. Non sai quanto ti sono grata."
[D2-00] "Benissimo, mi piacciono gli uomini che sanno quel che vogliono. Vedrò di darti la miglior camera nella locanda. E' proprio quella di fianco alla mia..."
[D3-00] "Perchè non aspetti un attimo mentre ti preparo qualche avanzo...oh e la tua camera sul retro è quasi pronta."
[D4-00] "Che notte! Quasi mi facevi aprire in ritardo questa mattina. Oh, quel tuo strano amico ti sta aspettando fuori dalla locanda. Ho dovuto cacciarlo fuori perché stava innervosendo i miei clienti. A più tardi, tesoro."
[D5-00] "Dovresti andare a parlare con il tuo strano amico, quasi faceva scappare i miei clienti. Ho dovuto cacciarlo fuori!"
[D6-00] "Buon giorno, cosa desideri?"
[D7-00] "Oh, bentornato tesoro, ascolta, è stato bello e tutto, ma non vorrai mica gironzolarmi attorno per tutto il giorno, vero?"
[D8-00] "Ehilà, non ci sono più ratti da uccidere, quindi nessun lavoro per gente come te."
[D9-00] "Buon giorno."
[DA-00] "Ah, ciao di nuovo. Hai per caso visto tutti quei morti viventi là fuori? Penserai che io sia spaventata, ma i miei clienti sono inutili zombi da anni, che ormai ci sono abituata."
[DB-00] "Ho già visto il tuo trucco prima, Bardo, e non ci casco un'altra volta."
[DC-00] "La salvo io, amabile donzella!"
[DD-00] "Stavo per caso passando qui vicino quando ho sentito le sue grida sopra il brontolio del mio stomaco. Non si è fatta male, vero?"
