[01-00] "Qui Erik il Vichingo giace, a Valhalla ora combatte, così assai gli piace."
[ED-01] "Non potresti essere un po' meno melodrammatico? Qui è già abbastanza freddo senza che ti ci metta anche tu."
[EE-01] "Non so se hai notato, ma da queste parti fa un po' freddino."
[EF-01] "Dillo al mio culo."
[F0-01] "Questo è davvero... utile. Perché non resti nelle retrovie e non dici niente, ok?"
[F1-01] "Questa dev'essere l'entrata per le tombe di cui il caro defunto Bodb ha parlato. Hmm... piuttosto fredda, come accoglienza. Credo che non passerò di là molto presto."
[F2-01] "Stop, stop, aspetta un minuto! Sembra che le tue chiappe non stiano congelando dal freddo. Qual è il tuo segreto?"
[F3-01] "Beh, dato che stiamo parlando del tuo culo, parliamo di come te lo prenderò a calci su e giù per la montagna se non me ne dai un goccio."
[F4-01] "Ok amico mio dal culo caldo, condividiamo un sorso ed una nuova amicizia."
[F5-01] "Vedo che sei un uomo che sa usare la testa. Se vuoi continuare a tenertela sulle spalle, passamela."
[F6-01] "Vedo che sei un uomo che sa usare la testa. Mi inchino alla tua saggezza, e spero che dividerai il tuo caldo miscuglio con un amico di viaggio bisognoso."
[F7-01] "Aaaahhhh... Magico e saporito."
[F8-01] "Su 'sta roba dovrebbero metterci su un'etichetta di pericolo."
[F9-01] "Oh, il vecchio trucco del falso imbroglione! Mia madre mi ha sempre detto di fare attenzione con chi bevevo... o si dice con il quale?"
[FA-01] "Basta che il mio culo stia al caldo."
[FB-01] "Per qualche ragione non condivido il tuo entusiasmo."
[FC-01] "Nessuno te lo ha chiesto!"
[FD-01] "No, stavo parlando con... Lascia perdere."
[FE-01] "Sì, qualcuno lo senti. Che sia o meno il tuo soccorritore è tutto da vedere."
[FF-01] "Ciao? Riesci a sentirmi? Chi sei?"
[00-02] "Da quello che ho capito, dubito che né denaro né donne tu possa offrirmi. Sei appena degno del mio tempo."
[01-02] "Non posso abbattere un muro di ghiaccio, ma lasciami dare uno sguardo in giro. Forse posso trovare qualcosa che mi aiuti a liberarti. Non muoverti."
[02-02] "Pensavo fossi morto... oppure questo fetore lo emani sempre?"
[03-02] "Sempre là, mio intrappolato amico?"
[04-02] "Certo. Adesso tirati indietro mentre ti scavo una via d'uscita a mani nude. Nel frattempo, hai qualcosa di utile da dirmi su questo posto?"
[05-02] "Non ancora, hai idea di dove potrei trovare qualcosa per aiutarti ad uscire da lì?"
[06-02] "Continui a sprecare ossigeno?"
[07-02] "Sono grato che tu sia ancora vivo."
[08-02] "Sembri uno che è appena uscito da sotto una roccia, mi meraviglia che tu non sia molto esperto di esplorazioni nel sottosuolo. Sei sicuro di non avere qualche informazione per me?"
[09-02] "Sto facendo tutto quello che posso. Hai qualche altra informazione che potrebbe essermi d'aiuto?"
[0A-02] "Ammiro la tua capacità di sopravvivere in circostanze dove la maggior parte della gente sarebbe morta. Un po' come uno scarafaggio."
