[01-00] "Qui Erik il Vichingo giace, a Valhalla ora combatte, così assai gli piace."
[31-02] "Hmm questa parete non mi sembra in ottima forma, suppongo non costruiscano le belle tombe gelide d'un tempo piene di zombie assetati di vendetta."
[32-02] "Non hai idea di quanto mi scandi il cuore sentirti dirtelo dire. Dammi un momento per buttar giù due righe nel mio diario."
[33-02] "Ancora tu? Mettiamo la parola fine a tutto questo!"
[34-02] "Parole grosse se dette da un uomo con un piccolo esercito dietro di lui. Ti faccio così paura?"
[35-02] "È sempre meglio di battersi come un trow!"
[36-02] "Ci avrei scommesso!"
[37-02] "Ho solo una domanda. Chi vuole morire per primo?"
[38-02] "Questa era abbastanza sgradevole. E' l'ultima volta che accetto consigli da un Trow."
[41-02] "Quindi sei tu quello che ci sta causando tanti problemi. A dire la verità sono un po' sorpreso, ti credevo più... temibile."
[42-02] "Dato che sono padrone del tuo destino, non penso che mi importi. Non sei d'accordo?"
[43-02] "Se stai parlando con il tuo creatore, rassicuralo, molto presto lo raggiungerai. Addio."
[44-02] "A dire la verità non mi aspettavo di vederti qui, mi congratulo con te per essere arrivato così lontano, forse hai dei talenti che sfuggono a prima vista."
[45-02] "Sempre spiritoso, eh? Le tue battute non ti saranno d'aiuto."
[46-02] "Quanta spacconeria. Mi domando... se puoi davvero permettertela."
[47-02] "Vedremo quanto sono spaventato. Lascia il Bardo a me! In guardia!"
[48-02] "Ovviamente... Uccidetelo!"
[49-02] "Prendilo!"
[4A-02] "Lo ucciderò io stesso!"
[97-02] "Prendilo Cathbad!"
[98-02] "Fagli vedere!"
[99-02] "Ooooh scommetto che fa male!"
[9A-02] "Combatti come un vecchietta!"
[9B-02] "4 a 1 le quotazioni contro il Bardo. Qualcuno scommette?"
[9C-02] "Uccidilo!"
[9D-02] "Frantumalo!"
[62-07] "I tentativi di Cathbad sono falliti. Questo...Bardo ha eluso una delle sue trappole, raggiungendo la Torre della Montagna. Lugh dovrebbe essere in grado di sbarazzarsene, ma raduna un po' di Fratelli e assicurati che non abbandoni la torre ancora in vita."
[63-07] "Sì, mio signore."
[64-07] "Vedi di non fallire. Usa qualsiasi metodo necessario per fermarlo. Sai cosa c'è in gioco."
[65-07] "Faremo come comanda."
[66-07] "Il Bardo riuscì a tirarsi fuori dalla neve e dal ghiaccio per raggiungere la Torre della Montagna. Dentro l'attendeva il più letale degli avversari mai affrontato prima, Lugh il guerriero di bronzo, il secondo dei guardiani della torre."
[67-07] "Mi chiedevo quando saresti arrivato. Aspettavo il tuo arrivo da tempo. Naturalmente sono Lugh, il guardiano di questa torre, e tu saresti l'uomo che ha fatto fuori il vecchio Herne? Mi sembri un po' fragilino."
[68-07] "Ovviamente sono discordanze di opinioni. Ascolta, possiamo farla breve? Ho una principessa da salvare e prima cadi in ginocchio tu, prima... lo farà anche lei. Quindi diamoci una mossa!"
[69-07] "Principessa? Eheheh... Ammiro un uomo pronto a morire in nome della donna che ama."
[6A-07] "Chi ha parlato di amore?"
