[01-00] "Qui Erik il Vichingo giace, a Valhalla ora combatte, così assai gli piace."
[E2-00] "Missione Compiuta!"
[FE-00] "Dovresti rimanere qui e ubriacarti con noi, amico mio. L'intera città sta per cadere all'inferno, quindi cosa diavolo ce ne faremo del fegato?"
[EC-01] "Ti interessa fare una donazione, figliolo?"
[E2-05] "Il Bardo si diresse a Dounby dal nord, senza liberarsi dalla strana sensazione di sentirsi osservato."
[E3-05] "Hai attraversato il nord?"
[E4-05] "Già."
[E5-05] "Non ci riescono in molti. Come hai fatto a passare dalle montagne illeso?"
[E6-05] "Non mi sembra che siano affari tuoi."
[E7-05] "Dicevo per passare il tempo, amico, non c'è bisogno di arrabbiarsi. Non c'è molto lavoro in questi giorni. Non da quando quei dannati Druidi si sono impadroniti della città."
[E8-05] "Druidi, eh? Quando è successo?"
[E9-05] "Il Bardo si avventurò nell'Antro del Leone, senza liberarsi dalla strana sensazione di sentirsi osservato."
[EA-05] "Allora è vero."
[EB-05] "Non so a quale gioco stia giocando venendo qui, ma se ne pentirà. Concedetegli di passare dal cancello nord senza alcun fastidio. E quando si troverà all'interno della città... colpiremo!"
[EC-05] "Eccolo, fratelli! Uccidetelo!"
[ED-05] "Ti tengo d'occhio, Bardo!"
[EE-05] "Fratelli, il Bardo è qui!"
[EF-05] "I Druidi solitamente si facevano gli affari loro, ma un giorno sono sbucati fuori dalla torre e hanno cominciato a prendere il potere. Ora sono per tutta la città che cercano qualcuno."
[F0-05] "Agh, stai lontano! Non ho fatto niente! Oh, aspetta. Pensavo fossi uno di quei Druidi."
[F1-05] "Ho sentito che la città di Kirkwall è stata completamente distrutta da un mostro orrendo."
[F2-05] "Viviamo in tempi oscuri, amico mio, si dice che persino i morti stiano abbandonando i loro sepolcri."
[F3-05] "Le cose si fanno pericolose da queste parti. Stavo pensando di andare da O'Dell e di farmi una spada."
[F4-05] "Non darti troppo pensiero per tutti i recenti problemi, arriverà un eroe alto, muscoloso e coraggioso a salvare la situazione. Fammi sapere se ne vedi uno in giro."
[F5-05] "Farai meglio ad evitare il Tamburo Aiken, ho sentito che è una taverna squallida traboccante di feccia e malvagità."
[F6-05] "Non ho dormito affatto bene ultimamente, ho questo foruncolo giusto sul...aspetta! Non ti interessa proprio?"
[F7-05] "Sono venuto qui per cambiare aria, ma avrei fatto meglio a rimanere a Stromness."
[F8-05] "Attraversando la città occupata, il Bardo alla fine trovò la strada per il pub locale, cosa che in un qualche modo riusciva sempre a fare. Il Tamburo Aiken era un popolare ritrovo per ubriachi, disoccupati e reietti che si guadagnavano da vivere per la strada. Ovviamente il Bardo si sentiva a casa sua."
[F9-05] "Benvenuto, amico. Avevo sentito che eri arrivato a Dounby. Lo sanno già in molti in città, sono passati molti inverni dall'ultima volta che un uomo è uscito dal Nord con le sue gambe e non in una cassa di legno di pino!"
[FA-05] "Ho notato che a quanto pare sono molto popolare presso i locali."
[FB-05] "Certo, la Principessa sapeva che saresti passato di qui per arrivare alla tua prossima tappa, e mi ha fatto rimanere in questa città dimenticata da Dio per darti una mano."
[FC-05] "Sei stato davvero d'enorme aiuto, fattelo dire."
[FD-05] "Gli spiritosoni non piacciono a nessuno figliolo, non avrei potuto aiutarti a superare quelle pattuglie. Quei Druidi hanno rivoltato la città per trovarti, vogliono assolutamente impedirti il salvataggio della nostra Signora. E mi avrebbero battuto con facilità."
[FE-05] "Come no, come no. Allora, che aiuto concreto puoi darmi?"
[FF-05] "Ti posso dare un pò di informazioni. C'è un uomo che vive ad ovest, si chiama MacRath. E' il custode dell'Ascia dell'Ombra e ne avrai bisogno per entrare nella prossima torre."
[00-06] "Certo, certo, non prima di avergli salvato il gatto, di aver rubato per lui una gemma, o aver ritrovato la sua promessa sposa a lungo scomparsa. Ho capito l'antifona. Il Bardo fa comodo a tutti."
[01-06] "Eh, ma quanto sei cinico! Ma forse è per questo che sei ancora vivo. MacRath è uno di noi, ragazzo, sta conservando l'ascia per te, tutto quello che devi fare è andare da lui a prenderla."
[02-06] "Non sarebbe stato meglio se tu gli avessi detto di lasciarmela qui?"
[03-06] "Rischiando di farla cadere nelle mani dei Druidi? Avremmo fatto una bella sciocchezza, mi prendo già un grosso rischio incontrandoti qui. Usa la testa per pensare e non solo per parlare a vanvera."
[04-06] "In effetti ha un senso, ma posso fare a meno delle impertinenze. Ricordati che ti ho salvato."
[05-06] "Porta il culo fuori di qui e vai nelle Greenlands a trovare MacRath!"
[06-06] "Hai dei problemi a lasciare la città, ragazzo mio?"
[07-06] "Ci sono un sacco di Druidi lì fuori e stai sicuro che nessuno di loro vuole brindare alla mia salute."
[08-06] "Ci potrebbe essere un'altra uscita, ci sono molti tunnel sotto la città che conducono fuori. Le entrate per i tunnel sono sparse per tutta Dounby."
[09-06] "E la fregatura è..."
[0A-06] "Beh, i tunnel sono pieni zeppi di mostri."
[0B-06] "E questa sarebbe una via d'uscita migliore?"
[0C-06] "Non ho mai detto che fosse migliore, ho solo detto che era un'altra uscita."
[0D-06] "Comincio a pensare che tu stia cercando di uccidermi, Dugan."
[0E-06] "Io? Ma naturalmente no. Sono il tuo migliore amico, forse l'unico, se penso a come tratti la gente!"
[0F-06] "Mi devi aiutare. Non riesco a capire un accidente di quello che dice. Almeno è MacRath questo qui?"
[10-06] "Cosa vuoi dire? Certo che è MacRath."
[11-06] "Fagli una domanda."
